UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
5,Exp_20260317_151809,1,0.019,39.57
5,Exp_20260317_151809,1,0.030,39.71
5,Exp_20260317_151809,1,0.041,39.78
5,Exp_20260317_151809,1,0.052,40.11
5,Exp_20260317_151809,1,0.063,40.29
5,Exp_20260317_151809,1,0.075,40.44
5,Exp_20260317_151809,1,0.087,40.66
5,Exp_20260317_151809,1,0.101,40.85
5,Exp_20260317_151809,1,0.114,41.01
5,Exp_20260317_151809,1,0.134,41.10
5,Exp_20260317_151809,1,0.152,41.21
5,Exp_20260317_151809,1,0.164,41.08
5,Exp_20260317_151809,1,0.174,41.01
5,Exp_20260317_151809,1,0.178,40.90
5,Exp_20260317_151809,1,0.197,40.73
5,Exp_20260317_151809,1,0.208,40.59
5,Exp_20260317_151809,1,0.222,40.52
5,Exp_20260317_151809,1,0.233,40.43
5,Exp_20260317_151809,1,0.254,40.15
5,Exp_20260317_151809,1,0.268,40.13
5,Exp_20260317_151809,1,0.285,39.91
5,Exp_20260317_151809,1,0.297,39.79
5,Exp_20260317_151809,1,0.308,39.63
5,Exp_20260317_151809,1,0.322,39.36
5,Exp_20260317_151809,1,0.334,39.09
5,Exp_20260317_151809,1,0.352,38.48
5,Exp_20260317_151809,1,0.363,38.17
5,Exp_20260317_151809,1,0.374,38.15
5,Exp_20260317_151809,1,0.385,38.25
5,Exp_20260317_151809,1,0.399,38.08
5,Exp_20260317_151809,1,0.411,37.91
5,Exp_20260317_151809,1,0.433,37.52
5,Exp_20260317_151809,1,0.444,37.00
5,Exp_20260317_151809,1,0.463,36.51
5,Exp_20260317_151809,1,0.474,36.12
5,Exp_20260317_151809,1,0.485,35.35
5,Exp_20260317_151809,1,0.496,34.78
5,Exp_20260317_151809,1,0.508,34.43
5,Exp_20260317_151809,1,0.519,33.99
5,Exp_20260317_151809,1,0.533,33.34
5,Exp_20260317_151809,1,0.546,32.85
5,Exp_20260317_151809,1,0.565,32.01
5,Exp_20260317_151809,1,0.577,31.43
5,Exp_20260317_151809,1,0.597,30.42
5,Exp_20260317_151809,1,0.607,29.89
5,Exp_20260317_151809,1,0.619,29.10
5,Exp_20260317_151809,1,0.630,28.55
5,Exp_20260317_151809,1,0.643,27.73
5,Exp_20260317_151809,1,0.655,26.93
5,Exp_20260317_151809,1,0.674,25.81
5,Exp_20260317_151809,1,0.685,24.99
5,Exp_20260317_151809,1,0.696,23.83
5,Exp_20260317_151809,1,0.708,23.21
5,Exp_20260317_151809,1,0.720,22.18
5,Exp_20260317_151809,1,0.733,20.86
5,Exp_20260317_151809,1,0.754,19.13
5,Exp_20260317_151809,1,0.766,17.69
5,Exp_20260317_151809,1,0.785,16.05
5,Exp_20260317_151809,1,0.796,15.13
5,Exp_20260317_151809,1,0.807,14.21
5,Exp_20260317_151809,1,0.819,13.46
5,Exp_20260317_151809,1,0.829,12.65
5,Exp_20260317_151809,1,0.841,11.92
5,Exp_20260317_151809,1,0.854,11.41
5,Exp_20260317_151809,1,0.868,10.94
5,Exp_20260317_151809,1,0.878,10.73
5,Exp_20260317_151809,1,0.900,10.18
5,Exp_20260317_151809,1,0.918,9.69
5,Exp_20260317_151809,1,0.929,8.96
5,Exp_20260317_151809,1,0.941,8.62
5,Exp_20260317_151809,1,0.952,8.48
5,Exp_20260317_151809,1,0.965,8.05
5,Exp_20260317_151809,1,0.978,7.23
5,Exp_20260317_151809,1,0.996,6.77
5,Exp_20260317_151809,1,1.000,6.65
5,Exp_20260317_151809,1,1.019,6.22
5,Exp_20260317_151809,1,1.033,6.00
5,Exp_20260317_151809,1,1.044,5.82
5,Exp_20260317_151809,1,1.069,5.47
5,Exp_20260317_151809,1,1.081,5.42
5,Exp_20260317_151809,1,1.090,5.30
5,Exp_20260317_151809,1,1.108,5.13
5,Exp_20260317_151809,1,1.119,5.17
5,Exp_20260317_151809,1,1.130,5.08
5,Exp_20260317_151809,1,1.141,4.94
5,Exp_20260317_151809,1,1.152,4.70
5,Exp_20260317_151809,1,1.163,4.34
5,Exp_20260317_151809,1,1.175,3.97
5,Exp_20260317_151809,1,1.189,3.25
5,Exp_20260317_151809,1,1.201,2.57
5,Exp_20260317_151809,1,1.219,1.98
5,Exp_20260317_151809,1,1.229,1.56
5,Exp_20260317_151809,1,1.241,1.13
5,Exp_20260317_151809,1,1.252,0.65
5,Exp_20260317_151809,1,1.263,0.32
5,Exp_20260317_151809,1,1.276,0.07
5,Exp_20260317_151809,1,1.299,0.79
5,Exp_20260317_151809,1,1.311,1.49
5,Exp_20260317_151809,1,1.330,2.23
5,Exp_20260317_151809,1,1.342,2.37
5,Exp_20260317_151809,1,1.355,2.37
5,Exp_20260317_151809,1,1.374,2.66
5,Exp_20260317_151809,1,1.385,2.64
5,Exp_20260317_151809,1,1.398,2.76
5,Exp_20260317_151809,1,1.411,2.85
5,Exp_20260317_151809,1,1.429,2.72
5,Exp_20260317_151809,1,1.440,2.66
5,Exp_20260317_151809,1,1.455,2.48
5,Exp_20260317_151809,1,1.458,2.36
5,Exp_20260317_151809,1,1.476,2.05
5,Exp_20260317_151809,1,1.496,1.71
5,Exp_20260317_151809,1,1.510,1.71
5,Exp_20260317_151809,1,1.522,1.49
5,Exp_20260317_151809,1,1.540,1.36
5,Exp_20260317_151809,1,1.551,1.27
5,Exp_20260317_151809,1,1.562,1.28
5,Exp_20260317_151809,1,1.574,1.16
5,Exp_20260317_151809,1,1.585,1.08
5,Exp_20260317_151809,1,1.596,1.23
5,Exp_20260317_151809,2,0.011,-20.07
5,Exp_20260317_151809,2,0.024,-20.14
5,Exp_20260317_151809,2,0.037,-20.31
5,Exp_20260317_151809,2,0.055,-20.56
5,Exp_20260317_151809,2,0.067,-20.62
5,Exp_20260317_151809,2,0.077,-20.57
5,Exp_20260317_151809,2,0.088,-20.52
5,Exp_20260317_151809,2,0.100,-20.47
5,Exp_20260317_151809,2,0.113,-20.20
5,Exp_20260317_151809,2,0.126,-20.22
5,Exp_20260317_151809,2,0.135,-20.31
5,Exp_20260317_151809,2,0.155,-20.23
5,Exp_20260317_151809,2,0.166,-20.14
5,Exp_20260317_151809,2,0.180,-19.93
5,Exp_20260317_151809,2,0.193,-19.67
5,Exp_20260317_151809,2,0.212,-19.24
5,Exp_20260317_151809,2,0.225,-18.84
5,Exp_20260317_151809,2,0.238,-18.09
5,Exp_20260317_151809,2,0.256,-16.98
5,Exp_20260317_151809,2,0.266,-16.48
5,Exp_20260317_151809,2,0.277,-15.95
5,Exp_20260317_151809,2,0.288,-15.16
5,Exp_20260317_151809,2,0.299,-14.36
5,Exp_20260317_151809,2,0.310,-13.23
5,Exp_20260317_151809,2,0.322,-12.17
5,Exp_20260317_151809,2,0.335,-11.25
