UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
7,Exp_20260317_174310,1,midair,50.0,20.0,22.23,2.23,1.144
7,Exp_20260317_174310,2,midair,40.0,0.0,2.89,2.89,1.401
7,Exp_20260317_174310,3,midair,20.0,10.0,10.76,0.76,0.554
7,Exp_20260317_174310,4,midair,0.0,20.0,19.27,0.73,0.701
7,Exp_20260317_174310,5,midair,50.0,0.0,2.56,2.56,0.936
7,Exp_20260317_174310,6,midair,10.0,40.0,39.74,0.26,0.777
7,Exp_20260317_174310,7,midair,20.0,0.0,2.68,2.68,0.744
7,Exp_20260317_174310,8,midair,40.0,0.0,0.86,0.86,1.011
7,Exp_20260317_174310,9,midair,40.0,10.0,9.82,0.18,0.772
7,Exp_20260317_174310,10,midair,30.0,50.0,50.61,0.61,0.736
7,Exp_20260317_174310,11,midair,0.0,40.0,39.90,0.10,0.767
7,Exp_20260317_174310,12,midair,30.0,20.0,18.87,1.13,0.467
7,Exp_20260317_174310,13,midair,30.0,20.0,19.58,0.42,0.412
7,Exp_20260317_174310,14,midair,20.0,10.0,8.35,1.65,0.400
7,Exp_20260317_174310,15,midair,50.0,40.0,37.59,2.41,0.469
7,Exp_20260317_174310,16,midair,20.0,0.0,1.07,1.07,0.844
7,Exp_20260317_174310,17,midair,50.0,10.0,11.26,1.26,0.990
7,Exp_20260317_174310,18,midair,10.0,30.0,29.57,0.43,0.934
7,Exp_20260317_174310,19,midair,40.0,20.0,19.73,0.27,0.988
7,Exp_20260317_174310,20,midair,40.0,30.0,28.40,1.60,0.658
7,Exp_20260317_174310,21,midair,40.0,20.0,22.23,2.23,1.244
7,Exp_20260317_174310,22,midair,10.0,0.0,2.57,2.57,0.633
7,Exp_20260317_174310,23,midair,20.0,50.0,47.41,2.59,0.880
7,Exp_20260317_174310,24,midair,0.0,50.0,49.42,0.58,0.814
7,Exp_20260317_174310,25,midair,40.0,30.0,30.46,0.46,0.688
7,Exp_20260317_174310,26,midair,30.0,40.0,42.32,2.32,0.702
7,Exp_20260317_174310,27,midair,10.0,30.0,29.04,0.96,0.946
7,Exp_20260317_174310,28,midair,20.0,40.0,38.52,1.48,0.667
7,Exp_20260317_174310,29,midair,20.0,30.0,29.61,0.39,0.800
7,Exp_20260317_174310,30,midair,50.0,30.0,28.50,1.50,0.945
7,Exp_20260317_174310,31,midair,40.0,50.0,48.53,1.47,0.899
7,Exp_20260317_174310,32,midair,30.0,40.0,40.24,0.24,0.922
7,Exp_20260317_174310,33,midair,10.0,0.0,1.43,1.43,1.200
7,Exp_20260317_174310,34,midair,10.0,50.0,50.44,0.44,0.821
7,Exp_20260317_174310,35,midair,30.0,50.0,50.32,0.32,0.724
7,Exp_20260317_174310,36,midair,20.0,40.0,41.35,1.35,0.702
7,Exp_20260317_174310,37,midair,0.0,50.0,49.58,0.42,1.141
7,Exp_20260317_174310,38,midair,10.0,20.0,21.48,1.48,0.645
7,Exp_20260317_174310,39,midair,0.0,10.0,9.37,0.63,0.845
7,Exp_20260317_174310,40,midair,0.0,40.0,38.49,1.51,1.235
7,Exp_20260317_174310,41,midair,50.0,40.0,39.27,0.73,0.599
7,Exp_20260317_174310,42,midair,30.0,50.0,50.19,0.19,0.867
7,Exp_20260317_174310,43,midair,50.0,10.0,12.08,2.08,1.410
7,Exp_20260317_174310,44,midair,40.0,50.0,50.00,0.00,0.922
7,Exp_20260317_174310,45,midair,50.0,10.0,10.02,0.02,1.930
7,Exp_20260317_174310,46,midair,30.0,10.0,11.44,1.44,0.881
7,Exp_20260317_174310,47,midair,30.0,0.0,2.05,2.05,0.724
7,Exp_20260317_174310,48,midair,30.0,0.0,1.24,1.24,1.011
7,Exp_20260317_174310,49,midair,50.0,30.0,29.32,0.68,0.591
7,Exp_20260317_174310,50,midair,50.0,40.0,39.99,0.01,0.766
7,Exp_20260317_174310,51,midair,0.0,10.0,10.09,0.09,0.544
7,Exp_20260317_174310,52,midair,40.0,10.0,11.47,1.47,0.811
7,Exp_20260317_174310,53,midair,40.0,50.0,49.73,0.27,0.602
7,Exp_20260317_174310,54,midair,10.0,40.0,38.99,1.01,0.555
7,Exp_20260317_174310,55,midair,20.0,50.0,51.75,1.75,0.755
