UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
9,Exp_20260318_105353,1,midair,10.0,30.0,31.25,1.25,1.472
9,Exp_20260318_105353,2,midair,20.0,30.0,31.06,1.06,0.945
9,Exp_20260318_105353,3,midair,20.0,50.0,48.08,1.92,1.069
9,Exp_20260318_105353,4,midair,0.0,50.0,50.85,0.85,1.429
9,Exp_20260318_105353,5,midair,50.0,0.0,0.12,0.12,1.987
9,Exp_20260318_105353,6,midair,30.0,50.0,48.59,1.41,0.755
9,Exp_20260318_105353,7,midair,40.0,30.0,28.88,1.12,0.926
9,Exp_20260318_105353,8,midair,40.0,30.0,28.95,1.05,0.780
9,Exp_20260318_105353,9,midair,30.0,50.0,48.24,1.76,0.771
9,Exp_20260318_105353,10,midair,40.0,20.0,19.72,0.28,1.012
9,Exp_20260318_105353,11,midair,0.0,40.0,40.32,0.32,1.247
9,Exp_20260318_105353,12,midair,0.0,40.0,40.09,0.09,1.288
9,Exp_20260318_105353,13,midair,20.0,30.0,28.64,1.36,0.863
9,Exp_20260318_105353,14,midair,10.0,40.0,38.74,1.26,1.048
9,Exp_20260318_105353,15,midair,40.0,20.0,20.32,0.32,1.177
9,Exp_20260318_105353,16,midair,20.0,10.0,9.38,0.62,0.778
9,Exp_20260318_105353,17,midair,0.0,20.0,20.35,0.35,0.787
9,Exp_20260318_105353,18,midair,40.0,10.0,10.41,0.41,0.999
9,Exp_20260318_105353,19,midair,0.0,20.0,19.90,0.10,0.657
9,Exp_20260318_105353,20,midair,50.0,30.0,31.11,1.11,0.631
9,Exp_20260318_105353,21,midair,10.0,40.0,37.33,2.67,0.644
9,Exp_20260318_105353,22,midair,10.0,20.0,21.08,1.08,0.766
9,Exp_20260318_105353,23,midair,30.0,10.0,11.30,1.30,0.679
9,Exp_20260318_105353,24,midair,0.0,40.0,36.95,3.05,0.744
9,Exp_20260318_105353,25,midair,30.0,10.0,9.73,0.27,0.810
9,Exp_20260318_105353,26,midair,0.0,30.0,28.92,1.08,0.724
9,Exp_20260318_105353,27,midair,30.0,0.0,1.94,1.94,0.762
9,Exp_20260318_105353,28,midair,40.0,0.0,2.80,2.80,0.925
9,Exp_20260318_105353,29,midair,40.0,20.0,17.98,2.02,1.044
9,Exp_20260318_105353,30,midair,30.0,50.0,51.62,1.62,0.822
9,Exp_20260318_105353,31,midair,50.0,40.0,38.30,1.70,0.611
9,Exp_20260318_105353,32,midair,0.0,50.0,50.50,0.50,1.042
9,Exp_20260318_105353,33,midair,40.0,50.0,50.25,0.25,0.683
9,Exp_20260318_105353,34,midair,30.0,20.0,20.14,0.14,1.167
9,Exp_20260318_105353,35,midair,50.0,30.0,29.00,1.00,1.344
9,Exp_20260318_105353,36,midair,0.0,10.0,10.93,0.93,0.621
9,Exp_20260318_105353,37,midair,50.0,0.0,0.08,0.08,1.265
9,Exp_20260318_105353,38,midair,20.0,40.0,38.26,1.74,0.755
9,Exp_20260318_105353,39,midair,10.0,30.0,30.77,0.77,0.722
9,Exp_20260318_105353,40,midair,40.0,0.0,0.11,0.11,0.900
9,Exp_20260318_105353,41,midair,50.0,10.0,10.85,0.85,1.063
9,Exp_20260318_105353,42,midair,50.0,10.0,9.22,0.78,1.194
9,Exp_20260318_105353,43,midair,50.0,40.0,39.05,0.95,0.700
9,Exp_20260318_105353,44,midair,20.0,30.0,32.07,2.07,0.497
9,Exp_20260318_105353,45,midair,30.0,10.0,9.86,0.14,1.068
9,Exp_20260318_105353,46,midair,20.0,40.0,39.47,0.53,1.226
9,Exp_20260318_105353,47,midair,40.0,10.0,10.77,0.77,1.222
9,Exp_20260318_105353,48,midair,10.0,50.0,48.15,1.85,1.266
9,Exp_20260318_105353,49,midair,10.0,0.0,0.19,0.19,1.022
9,Exp_20260318_105353,50,midair,30.0,0.0,1.76,1.76,0.889
9,Exp_20260318_105353,51,midair,40.0,10.0,11.47,1.47,1.210
9,Exp_20260318_105353,52,midair,10.0,50.0,50.54,0.54,0.966
9,Exp_20260318_105353,53,midair,10.0,0.0,1.23,1.23,0.923
9,Exp_20260318_105353,54,midair,20.0,0.0,1.45,1.45,0.811
9,Exp_20260318_105353,55,midair,0.0,30.0,30.34,0.34,0.788
9,Exp_20260318_105353,56,midair,40.0,50.0,49.93,0.07,1.025
9,Exp_20260318_105353,57,midair,30.0,20.0,20.70,0.70,0.866
9,Exp_20260318_105353,58,midair,20.0,40.0,41.46,1.46,0.722
9,Exp_20260318_105353,59,midair,0.0,10.0,9.85,0.15,1.188
9,Exp_20260318_105353,60,midair,30.0,40.0,41.12,1.12,0.589
9,Exp_20260318_105353,61,midair,50.0,10.0,10.64,0.64,1.431
9,Exp_20260318_105353,62,midair,10.0,30.0,29.34,0.66,0.643
9,Exp_20260318_105353,63,midair,20.0,0.0,1.49,1.49,0.922
9,Exp_20260318_105353,64,midair,50.0,30.0,31.05,1.05,1.022
9,Exp_20260318_105353,65,midair,0.0,50.0,49.98,0.02,0.943
9,Exp_20260318_105353,66,midair,20.0,50.0,49.59,0.41,1.013
9,Exp_20260318_105353,67,midair,10.0,20.0,19.33,0.67,0.823
9,Exp_20260318_105353,68,midair,20.0,10.0,8.93,1.07,0.716
9,Exp_20260318_105353,69,midair,50.0,40.0,39.47,0.53,0.622
9,Exp_20260318_105353,70,midair,10.0,0.0,1.00,1.00,0.631
9,Exp_20260318_105353,71,midair,50.0,0.0,0.10,0.10,1.488
9,Exp_20260318_105353,72,midair,30.0,40.0,39.59,0.41,0.614
9,Exp_20260318_105353,73,midair,10.0,20.0,22.09,2.09,0.561
9,Exp_20260318_105353,74,midair,30.0,40.0,38.66,1.34,0.711
9,Exp_20260318_105353,75,midair,40.0,30.0,31.13,1.13,0.790
9,Exp_20260318_105353,76,midair,30.0,0.0,0.63,0.63,1.089
9,Exp_20260318_105353,77,midair,50.0,20.0,19.37,0.63,0.867
9,Exp_20260318_105353,78,midair,0.0,10.0,10.62,0.62,0.703
9,Exp_20260318_105353,79,midair,10.0,40.0,40.56,0.56,0.822
9,Exp_20260318_105353,80,midair,20.0,50.0,50.26,0.26,0.922
9,Exp_20260318_105353,81,midair,0.0,30.0,27.85,2.15,0.959
9,Exp_20260318_105353,82,midair,30.0,20.0,19.47,0.53,0.813
9,Exp_20260318_105353,83,midair,50.0,20.0,20.88,0.88,1.067
9,Exp_20260318_105353,84,midair,40.0,50.0,51.54,1.54,0.665
9,Exp_20260318_105353,85,midair,10.0,50.0,50.37,0.37,0.703
9,Exp_20260318_105353,86,midair,40.0,0.0,1.12,1.12,0.847
9,Exp_20260318_105353,87,midair,20.0,10.0,9.33,0.67,0.469
9,Exp_20260318_105353,88,midair,50.0,20.0,17.08,2.92,0.568
9,Exp_20260318_105353,89,midair,0.0,20.0,19.22,0.78,0.613
9,Exp_20260318_105353,90,midair,20.0,0.0,1.92,1.92,0.744
