UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
10,Exp_20260318_132844,1,0.012,29.98
10,Exp_20260318_132844,1,0.023,29.81
10,Exp_20260318_132844,1,0.041,29.51
10,Exp_20260318_132844,1,0.045,29.45
10,Exp_20260318_132844,1,0.058,29.24
10,Exp_20260318_132844,1,0.077,29.14
10,Exp_20260318_132844,1,0.087,29.14
10,Exp_20260318_132844,1,0.091,29.39
10,Exp_20260318_132844,1,0.103,29.27
10,Exp_20260318_132844,1,0.115,28.84
10,Exp_20260318_132844,1,0.126,28.06
10,Exp_20260318_132844,1,0.137,27.80
10,Exp_20260318_132844,1,0.148,27.52
10,Exp_20260318_132844,1,0.160,26.86
10,Exp_20260318_132844,1,0.172,26.52
10,Exp_20260318_132844,1,0.182,26.07
10,Exp_20260318_132844,1,0.193,25.56
10,Exp_20260318_132844,1,0.204,24.79
10,Exp_20260318_132844,1,0.215,23.90
10,Exp_20260318_132844,1,0.227,22.24
10,Exp_20260318_132844,1,0.237,21.08
10,Exp_20260318_132844,1,0.249,19.94
10,Exp_20260318_132844,1,0.260,18.47
10,Exp_20260318_132844,1,0.271,17.50
10,Exp_20260318_132844,1,0.282,16.41
10,Exp_20260318_132844,1,0.293,15.46
10,Exp_20260318_132844,1,0.304,14.46
10,Exp_20260318_132844,1,0.316,13.61
10,Exp_20260318_132844,1,0.327,12.90
10,Exp_20260318_132844,1,0.340,12.24
10,Exp_20260318_132844,1,0.348,11.85
10,Exp_20260318_132844,1,0.359,11.16
10,Exp_20260318_132844,1,0.371,10.57
10,Exp_20260318_132844,1,0.382,10.25
10,Exp_20260318_132844,1,0.393,10.06
10,Exp_20260318_132844,1,0.404,9.59
10,Exp_20260318_132844,1,0.415,9.13
10,Exp_20260318_132844,1,0.426,8.89
10,Exp_20260318_132844,1,0.437,8.31
10,Exp_20260318_132844,1,0.452,7.38
10,Exp_20260318_132844,1,0.464,6.24
10,Exp_20260318_132844,1,0.471,5.68
10,Exp_20260318_132844,1,0.482,5.08
10,Exp_20260318_132844,1,0.494,5.05
10,Exp_20260318_132844,1,0.504,4.50
10,Exp_20260318_132844,1,0.515,4.10
10,Exp_20260318_132844,1,0.526,4.24
10,Exp_20260318_132844,1,0.538,4.09
10,Exp_20260318_132844,1,0.548,3.98
10,Exp_20260318_132844,1,0.561,4.20
10,Exp_20260318_132844,1,0.571,4.14
10,Exp_20260318_132844,1,0.582,4.04
10,Exp_20260318_132844,1,0.593,4.13
10,Exp_20260318_132844,1,0.607,3.90
10,Exp_20260318_132844,1,0.615,3.87
10,Exp_20260318_132844,1,0.627,3.84
10,Exp_20260318_132844,1,0.637,3.87
10,Exp_20260318_132844,1,0.649,3.92
10,Exp_20260318_132844,1,0.660,4.00
10,Exp_20260318_132844,1,0.671,3.71
10,Exp_20260318_132844,1,0.682,3.39
10,Exp_20260318_132844,1,0.693,3.01
10,Exp_20260318_132844,1,0.704,2.81
10,Exp_20260318_132844,1,0.716,2.68
10,Exp_20260318_132844,1,0.727,2.95
10,Exp_20260318_132844,1,0.738,3.00
10,Exp_20260318_132844,1,0.749,3.01
10,Exp_20260318_132844,1,0.760,3.16
10,Exp_20260318_132844,1,0.771,3.16
10,Exp_20260318_132844,1,0.782,3.14
10,Exp_20260318_132844,1,0.794,3.07
10,Exp_20260318_132844,1,0.805,2.87
10,Exp_20260318_132844,1,0.815,2.71
10,Exp_20260318_132844,1,0.827,2.45
10,Exp_20260318_132844,1,0.838,2.40
10,Exp_20260318_132844,1,0.849,2.41
10,Exp_20260318_132844,1,0.860,2.39
10,Exp_20260318_132844,1,0.871,2.33
10,Exp_20260318_132844,1,0.882,2.24
10,Exp_20260318_132844,1,0.893,2.08
10,Exp_20260318_132844,1,0.904,2.01
10,Exp_20260318_132844,1,0.916,1.99
10,Exp_20260318_132844,1,0.927,2.03
10,Exp_20260318_132844,1,0.940,2.02
10,Exp_20260318_132844,1,0.949,2.02
10,Exp_20260318_132844,1,0.960,1.83
10,Exp_20260318_132844,1,0.971,1.75
10,Exp_20260318_132844,1,0.982,1.59
10,Exp_20260318_132844,1,0.993,1.79
10,Exp_20260318_132844,1,1.005,1.96
10,Exp_20260318_132844,1,1.015,2.03
