UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
7,Exp_20260317_174310,1,0.011,29.84
7,Exp_20260317_174310,1,0.023,29.68
7,Exp_20260317_174310,1,0.026,29.66
7,Exp_20260317_174310,1,0.044,29.58
7,Exp_20260317_174310,1,0.049,29.54
7,Exp_20260317_174310,1,0.067,29.57
7,Exp_20260317_174310,1,0.077,29.61
7,Exp_20260317_174310,1,0.092,29.71
7,Exp_20260317_174310,1,0.114,29.84
7,Exp_20260317_174310,1,0.126,29.87
7,Exp_20260317_174310,1,0.137,29.88
7,Exp_20260317_174310,1,0.160,29.88
7,Exp_20260317_174310,1,0.178,29.89
7,Exp_20260317_174310,1,0.189,29.88
7,Exp_20260317_174310,1,0.200,29.86
7,Exp_20260317_174310,1,0.214,29.83
7,Exp_20260317_174310,1,0.226,29.75
7,Exp_20260317_174310,1,0.244,29.56
7,Exp_20260317_174310,1,0.256,29.41
7,Exp_20260317_174310,1,0.269,29.14
7,Exp_20260317_174310,1,0.289,28.61
7,Exp_20260317_174310,1,0.303,28.13
7,Exp_20260317_174310,1,0.316,27.62
7,Exp_20260317_174310,1,0.337,26.58
7,Exp_20260317_174310,1,0.356,25.68
7,Exp_20260317_174310,1,0.359,25.47
7,Exp_20260317_174310,1,0.378,24.53
7,Exp_20260317_174310,1,0.389,23.97
7,Exp_20260317_174310,1,0.400,23.33
7,Exp_20260317_174310,1,0.411,22.72
7,Exp_20260317_174310,1,0.425,22.17
7,Exp_20260317_174310,1,0.437,21.57
7,Exp_20260317_174310,1,0.447,21.14
7,Exp_20260317_174310,1,0.470,20.61
7,Exp_20260317_174310,1,0.481,20.30
7,Exp_20260317_174310,1,0.499,20.14
7,Exp_20260317_174310,1,0.511,20.05
7,Exp_20260317_174310,1,0.522,20.00
7,Exp_20260317_174310,1,0.536,20.02
7,Exp_20260317_174310,1,0.547,19.99
7,Exp_20260317_174310,1,0.557,19.95
7,Exp_20260317_174310,1,0.577,19.81
7,Exp_20260317_174310,1,0.589,19.71
7,Exp_20260317_174310,1,0.599,19.45
7,Exp_20260317_174310,1,0.613,19.19
7,Exp_20260317_174310,1,0.626,18.73
7,Exp_20260317_174310,1,0.646,17.96
7,Exp_20260317_174310,1,0.659,17.30
7,Exp_20260317_174310,1,0.668,16.86
7,Exp_20260317_174310,1,0.689,15.79
7,Exp_20260317_174310,1,0.700,15.13
7,Exp_20260317_174310,1,0.710,14.52
7,Exp_20260317_174310,1,0.722,13.88
7,Exp_20260317_174310,1,0.734,13.22
7,Exp_20260317_174310,1,0.746,12.55
7,Exp_20260317_174310,1,0.758,11.74
7,Exp_20260317_174310,1,0.770,11.19
7,Exp_20260317_174310,1,0.791,9.98
7,Exp_20260317_174310,1,0.811,9.07
7,Exp_20260317_174310,1,0.821,8.60
7,Exp_20260317_174310,1,0.833,8.16
7,Exp_20260317_174310,1,0.844,7.75
7,Exp_20260317_174310,1,0.860,7.27
7,Exp_20260317_174310,1,0.880,6.72
7,Exp_20260317_174310,1,0.899,6.55
7,Exp_20260317_174310,1,0.911,6.48
