UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
9,Exp_20260318_105353,1,0.011,-19.96
9,Exp_20260318_105353,1,0.023,-19.96
9,Exp_20260318_105353,1,0.038,-19.80
9,Exp_20260318_105353,1,0.047,-19.69
9,Exp_20260318_105353,1,0.056,-19.69
9,Exp_20260318_105353,1,0.070,-19.90
9,Exp_20260318_105353,1,0.081,-19.82
9,Exp_20260318_105353,1,0.093,-19.76
9,Exp_20260318_105353,1,0.105,-19.80
9,Exp_20260318_105353,1,0.116,-19.43
9,Exp_20260318_105353,1,0.131,-19.32
9,Exp_20260318_105353,1,0.135,-18.89
9,Exp_20260318_105353,1,0.145,-18.71
9,Exp_20260318_105353,1,0.157,-18.62
9,Exp_20260318_105353,1,0.169,-18.40
9,Exp_20260318_105353,1,0.183,-18.22
9,Exp_20260318_105353,1,0.191,-17.83
9,Exp_20260318_105353,1,0.203,-17.73
9,Exp_20260318_105353,1,0.217,-17.62
9,Exp_20260318_105353,1,0.228,-17.17
9,Exp_20260318_105353,1,0.236,-16.48
9,Exp_20260318_105353,1,0.248,-16.00
9,Exp_20260318_105353,1,0.259,-15.45
9,Exp_20260318_105353,1,0.270,-14.83
9,Exp_20260318_105353,1,0.281,-14.59
9,Exp_20260318_105353,1,0.294,-14.07
9,Exp_20260318_105353,1,0.304,-13.40
9,Exp_20260318_105353,1,0.315,-12.95
9,Exp_20260318_105353,1,0.329,-12.59
9,Exp_20260318_105353,1,0.336,-12.14
9,Exp_20260318_105353,1,0.348,-11.56
9,Exp_20260318_105353,1,0.359,-10.87
9,Exp_20260318_105353,1,0.370,-9.59
9,Exp_20260318_105353,1,0.384,-9.19
9,Exp_20260318_105353,1,0.392,-8.59
9,Exp_20260318_105353,1,0.403,-8.18
9,Exp_20260318_105353,1,0.415,-7.62
9,Exp_20260318_105353,1,0.426,-7.23
9,Exp_20260318_105353,1,0.441,-7.40
9,Exp_20260318_105353,1,0.448,-7.11
9,Exp_20260318_105353,1,0.459,-6.79
9,Exp_20260318_105353,1,0.470,-6.25
9,Exp_20260318_105353,1,0.483,-5.96
9,Exp_20260318_105353,1,0.492,-5.69
9,Exp_20260318_105353,1,0.504,-5.64
9,Exp_20260318_105353,1,0.514,-5.47
9,Exp_20260318_105353,1,0.526,-5.39
9,Exp_20260318_105353,1,0.558,-4.91
9,Exp_20260318_105353,1,0.568,-4.30
9,Exp_20260318_105353,1,0.571,-4.13
9,Exp_20260318_105353,1,0.578,-3.96
9,Exp_20260318_105353,1,0.589,-3.68
9,Exp_20260318_105353,1,0.607,-3.35
9,Exp_20260318_105353,1,0.616,-2.76
9,Exp_20260318_105353,1,0.622,-2.59
9,Exp_20260318_105353,1,0.637,-3.02
9,Exp_20260318_105353,1,0.645,-3.07
9,Exp_20260318_105353,1,0.656,-2.75
9,Exp_20260318_105353,1,0.667,-2.46
9,Exp_20260318_105353,1,0.681,-2.27
9,Exp_20260318_105353,1,0.692,-2.27
9,Exp_20260318_105353,1,0.700,-2.25
9,Exp_20260318_105353,1,0.712,-2.33
9,Exp_20260318_105353,1,0.723,-2.32
9,Exp_20260318_105353,1,0.735,-2.33
9,Exp_20260318_105353,1,0.745,-2.47
9,Exp_20260318_105353,1,0.756,-2.52
9,Exp_20260318_105353,1,0.767,-2.59
9,Exp_20260318_105353,1,0.778,-2.68
9,Exp_20260318_105353,1,0.792,-2.68
9,Exp_20260318_105353,1,0.800,-2.68
9,Exp_20260318_105353,1,0.811,-2.72
9,Exp_20260318_105353,1,0.825,-2.71
9,Exp_20260318_105353,1,0.837,-2.69
9,Exp_20260318_105353,1,0.847,-2.69
9,Exp_20260318_105353,1,0.855,-2.82
9,Exp_20260318_105353,1,0.867,-2.86
9,Exp_20260318_105353,1,0.878,-2.82
9,Exp_20260318_105353,1,0.889,-2.73
9,Exp_20260318_105353,1,0.903,-2.66
9,Exp_20260318_105353,1,0.911,-2.72
9,Exp_20260318_105353,1,0.923,-2.76
9,Exp_20260318_105353,1,0.936,-2.72
9,Exp_20260318_105353,1,0.946,-2.62
9,Exp_20260318_105353,1,0.956,-2.62
9,Exp_20260318_105353,1,0.967,-2.60
9,Exp_20260318_105353,1,0.979,-2.40
9,Exp_20260318_105353,1,0.990,-2.26
9,Exp_20260318_105353,1,1.004,-2.19
9,Exp_20260318_105353,1,1.012,-2.10
9,Exp_20260318_105353,1,1.024,-1.92
9,Exp_20260318_105353,1,1.035,-1.78
9,Exp_20260318_105353,1,1.046,-1.68
9,Exp_20260318_105353,1,1.058,-1.61
9,Exp_20260318_105353,1,1.069,-1.89
9,Exp_20260318_105353,1,1.080,-1.88
9,Exp_20260318_105353,1,1.092,-1.75
9,Exp_20260318_105353,1,1.105,-1.51
9,Exp_20260318_105353,1,1.113,-1.25
9,Exp_20260318_105353,1,1.125,-0.94
9,Exp_20260318_105353,1,1.136,-0.69
9,Exp_20260318_105353,1,1.147,-0.53
9,Exp_20260318_105353,1,1.162,-0.28
9,Exp_20260318_105353,1,1.169,-0.11
9,Exp_20260318_105353,1,1.181,-0.12
9,Exp_20260318_105353,1,1.192,-0.09
9,Exp_20260318_105353,1,1.206,-0.02
9,Exp_20260318_105353,1,1.214,-0.05
9,Exp_20260318_105353,1,1.226,-0.07
9,Exp_20260318_105353,1,1.236,-0.11
9,Exp_20260318_105353,1,1.249,0.04
9,Exp_20260318_105353,1,1.263,0.08
9,Exp_20260318_105353,1,1.270,-0.04
9,Exp_20260318_105353,1,1.281,-0.01
9,Exp_20260318_105353,1,1.292,0.10
9,Exp_20260318_105353,1,1.303,0.21
9,Exp_20260318_105353,1,1.317,0.29
9,Exp_20260318_105353,1,1.327,0.39
9,Exp_20260318_105353,1,1.341,0.57
9,Exp_20260318_105353,1,1.347,0.62
9,Exp_20260318_105353,1,1.360,0.62
9,Exp_20260318_105353,1,1.370,0.61
9,Exp_20260318_105353,1,1.381,0.63
9,Exp_20260318_105353,1,1.392,0.67
9,Exp_20260318_105353,1,1.403,0.80
9,Exp_20260318_105353,1,1.414,0.85
9,Exp_20260318_105353,1,1.429,0.89
9,Exp_20260318_105353,1,1.436,1.12
9,Exp_20260318_105353,1,1.447,1.22
9,Exp_20260318_105353,1,1.459,1.23
9,Exp_20260318_105353,1,1.472,1.25
9,Exp_20260318_105353,2,0.011,-9.71
9,Exp_20260318_105353,2,0.022,-9.56
9,Exp_20260318_105353,2,0.034,-9.48
9,Exp_20260318_105353,2,0.044,-9.49
9,Exp_20260318_105353,2,0.062,-9.43
9,Exp_20260318_105353,2,0.071,-9.35
9,Exp_20260318_105353,2,0.081,-9.20
9,Exp_20260318_105353,2,0.095,-9.13
9,Exp_20260318_105353,2,0.104,-9.06
9,Exp_20260318_105353,2,0.116,-8.68
9,Exp_20260318_105353,2,0.127,-8.42
9,Exp_20260318_105353,2,0.138,-8.37
9,Exp_20260318_105353,2,0.152,-8.44
9,Exp_20260318_105353,2,0.166,-8.39
9,Exp_20260318_105353,2,0.182,-8.11
9,Exp_20260318_105353,2,0.193,-7.82
9,Exp_20260318_105353,2,0.205,-7.59
9,Exp_20260318_105353,2,0.214,-7.43
9,Exp_20260318_105353,2,0.226,-7.32
9,Exp_20260318_105353,2,0.234,-7.33
9,Exp_20260318_105353,2,0.249,-7.37
9,Exp_20260318_105353,2,0.256,-7.10
9,Exp_20260318_105353,2,0.268,-6.71
9,Exp_20260318_105353,2,0.282,-6.48
9,Exp_20260318_105353,2,0.290,-6.47
9,Exp_20260318_105353,2,0.301,-6.45
9,Exp_20260318_105353,2,0.312,-6.34
9,Exp_20260318_105353,2,0.323,-5.97
9,Exp_20260318_105353,2,0.335,-5.67
9,Exp_20260318_105353,2,0.348,-5.37
9,Exp_20260318_105353,2,0.363,-4.90
9,Exp_20260318_105353,2,0.378,-4.70
9,Exp_20260318_105353,2,0.393,-4.38
9,Exp_20260318_105353,2,0.400,-4.26
9,Exp_20260318_105353,2,0.411,-4.37
9,Exp_20260318_105353,2,0.423,-4.10
9,Exp_20260318_105353,2,0.435,-3.75
9,Exp_20260318_105353,2,0.452,-3.40
9,Exp_20260318_105353,2,0.465,-3.18
9,Exp_20260318_105353,2,0.482,-2.95
9,Exp_20260318_105353,2,0.494,-2.51
9,Exp_20260318_105353,2,0.509,-2.43
9,Exp_20260318_105353,2,0.522,-2.10
9,Exp_20260318_105353,2,0.533,-1.84
9,Exp_20260318_105353,2,0.547,-1.56
9,Exp_20260318_105353,2,0.555,-1.23
9,Exp_20260318_105353,2,0.566,-0.85
9,Exp_20260318_105353,2,0.577,-0.87
9,Exp_20260318_105353,2,0.588,-0.88
9,Exp_20260318_105353,2,0.600,-0.84
9,Exp_20260318_105353,2,0.613,-0.72
9,Exp_20260318_105353,2,0.622,-0.59
9,Exp_20260318_105353,2,0.634,-0.51
9,Exp_20260318_105353,2,0.644,-0.28
9,Exp_20260318_105353,2,0.655,-0.17
9,Exp_20260318_105353,2,0.666,-0.11
9,Exp_20260318_105353,2,0.677,0.21
9,Exp_20260318_105353,2,0.689,0.38
9,Exp_20260318_105353,2,0.706,0.47
9,Exp_20260318_105353,2,0.715,0.49
9,Exp_20260318_105353,2,0.722,0.54
9,Exp_20260318_105353,2,0.737,0.59
9,Exp_20260318_105353,2,0.744,0.56
9,Exp_20260318_105353,2,0.753,0.56
9,Exp_20260318_105353,2,0.766,0.67
9,Exp_20260318_105353,2,0.775,0.73
9,Exp_20260318_105353,2,0.786,0.70
9,Exp_20260318_105353,2,0.800,0.76
9,Exp_20260318_105353,2,0.809,0.80
9,Exp_20260318_105353,2,0.820,0.97
9,Exp_20260318_105353,2,0.834,1.01
9,Exp_20260318_105353,2,0.842,0.98
9,Exp_20260318_105353,2,0.855,0.92
9,Exp_20260318_105353,2,0.864,0.92
9,Exp_20260318_105353,2,0.875,0.95
9,Exp_20260318_105353,2,0.886,1.05
9,Exp_20260318_105353,2,0.897,1.07
9,Exp_20260318_105353,2,0.909,1.07
9,Exp_20260318_105353,2,0.920,1.16
9,Exp_20260318_105353,2,0.931,1.10
9,Exp_20260318_105353,2,0.945,1.06
9,Exp_20260318_105353,3,0.011,-29.81
9,Exp_20260318_105353,3,0.023,-29.87
9,Exp_20260318_105353,3,0.034,-29.88
9,Exp_20260318_105353,3,0.045,-29.73
9,Exp_20260318_105353,3,0.056,-29.64
9,Exp_20260318_105353,3,0.069,-29.56
9,Exp_20260318_105353,3,0.081,-29.47
9,Exp_20260318_105353,3,0.089,-29.51
9,Exp_20260318_105353,3,0.100,-29.29
9,Exp_20260318_105353,3,0.112,-28.69
9,Exp_20260318_105353,3,0.123,-28.43
9,Exp_20260318_105353,3,0.133,-28.36
9,Exp_20260318_105353,3,0.145,-28.28
9,Exp_20260318_105353,3,0.156,-28.03
9,Exp_20260318_105353,3,0.167,-27.70
9,Exp_20260318_105353,3,0.180,-27.12
9,Exp_20260318_105353,3,0.192,-27.01
9,Exp_20260318_105353,3,0.200,-26.51
9,Exp_20260318_105353,3,0.211,-25.51
9,Exp_20260318_105353,3,0.225,-25.07
9,Exp_20260318_105353,3,0.233,-24.77
9,Exp_20260318_105353,3,0.245,-24.03
9,Exp_20260318_105353,3,0.256,-23.46
9,Exp_20260318_105353,3,0.267,-23.04
9,Exp_20260318_105353,3,0.278,-22.22
9,Exp_20260318_105353,3,0.289,-21.55
9,Exp_20260318_105353,3,0.303,-20.90
9,Exp_20260318_105353,3,0.311,-20.42
9,Exp_20260318_105353,3,0.322,-19.81
9,Exp_20260318_105353,3,0.333,-18.93
9,Exp_20260318_105353,3,0.344,-18.16
9,Exp_20260318_105353,3,0.355,-17.42
9,Exp_20260318_105353,3,0.367,-16.61
