UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
11,Exp_20260319_141709,1,midair,30.0,20.0,21.43,1.43,0.846
11,Exp_20260319_141709,2,midair,0.0,30.0,29.66,0.34,2.165
11,Exp_20260319_141709,3,midair,50.0,0.0,1.08,1.08,2.565
11,Exp_20260319_141709,4,midair,20.0,40.0,40.43,0.43,1.521
11,Exp_20260319_141709,5,midair,50.0,40.0,40.83,0.83,1.587
11,Exp_20260319_141709,6,midair,20.0,50.0,49.16,0.84,1.734
11,Exp_20260319_141709,7,midair,50.0,40.0,40.85,0.85,1.077
11,Exp_20260319_141709,8,midair,40.0,20.0,20.10,0.10,1.489
11,Exp_20260319_141709,9,midair,0.0,40.0,40.89,0.89,1.405
11,Exp_20260319_141709,10,midair,40.0,0.0,0.06,0.06,1.866
11,Exp_20260319_141709,11,midair,40.0,20.0,19.50,0.50,1.366
11,Exp_20260319_141709,12,midair,30.0,40.0,40.57,0.57,1.169
11,Exp_20260319_141709,13,midair,40.0,50.0,49.31,0.69,0.989
11,Exp_20260319_141709,14,midair,10.0,40.0,40.59,0.59,2.110
11,Exp_20260319_141709,15,midair,10.0,30.0,29.97,0.03,1.576
11,Exp_20260319_141709,16,midair,10.0,50.0,50.80,0.80,2.188
11,Exp_20260319_141709,17,midair,0.0,40.0,38.97,1.03,1.943
11,Exp_20260319_141709,18,midair,0.0,50.0,50.70,0.70,2.248
11,Exp_20260319_141709,19,midair,30.0,20.0,20.88,0.88,1.111
11,Exp_20260319_141709,20,midair,50.0,30.0,32.11,2.11,1.147
11,Exp_20260319_141709,21,midair,30.0,50.0,49.88,0.12,1.932
11,Exp_20260319_141709,22,midair,30.0,0.0,-1.19,1.19,1.793
11,Exp_20260319_141709,23,midair,50.0,20.0,19.23,0.77,1.848
11,Exp_20260319_141709,24,midair,50.0,20.0,20.63,0.63,1.428
11,Exp_20260319_141709,25,midair,10.0,40.0,38.97,1.03,1.722
11,Exp_20260319_141709,26,midair,0.0,20.0,19.42,0.58,1.119
11,Exp_20260319_141709,27,midair,50.0,10.0,10.31,0.31,1.888
11,Exp_20260319_141709,28,midair,0.0,40.0,38.33,1.67,1.547
11,Exp_20260319_141709,29,midair,10.0,40.0,40.27,0.27,1.347
11,Exp_20260319_141709,30,midair,20.0,10.0,9.50,0.50,1.021
11,Exp_20260319_141709,31,midair,20.0,10.0,9.81,0.19,1.056
11,Exp_20260319_141709,32,midair,20.0,30.0,28.67,1.33,1.288
11,Exp_20260319_141709,33,midair,30.0,0.0,-0.12,0.12,1.610
11,Exp_20260319_141709,34,midair,10.0,50.0,49.39,0.61,1.444
11,Exp_20260319_141709,35,midair,20.0,40.0,40.92,0.92,1.217
11,Exp_20260319_141709,36,midair,30.0,50.0,50.51,0.51,0.969
11,Exp_20260319_141709,37,midair,30.0,10.0,9.67,0.33,1.333
11,Exp_20260319_141709,38,midair,0.0,10.0,10.68,0.68,0.924
11,Exp_20260319_141709,39,midair,20.0,0.0,0.75,0.75,1.367
11,Exp_20260319_141709,40,midair,10.0,0.0,0.49,0.49,1.043
11,Exp_20260319_141709,41,midair,10.0,50.0,49.17,0.83,1.504
11,Exp_20260319_141709,42,midair,10.0,0.0,-0.73,0.73,0.968
11,Exp_20260319_141709,43,midair,0.0,10.0,9.48,0.52,0.800
11,Exp_20260319_141709,44,midair,20.0,30.0,29.77,0.23,0.827
11,Exp_20260319_141709,45,midair,10.0,30.0,29.77,0.23,1.441
11,Exp_20260319_141709,46,midair,30.0,0.0,-0.18,0.18,1.347
11,Exp_20260319_141709,47,midair,0.0,50.0,49.51,0.49,1.387
11,Exp_20260319_141709,48,midair,50.0,10.0,11.01,1.01,1.666
11,Exp_20260319_141709,49,midair,50.0,10.0,10.71,0.71,1.388
11,Exp_20260319_141709,50,midair,10.0,20.0,20.51,0.51,0.699
11,Exp_20260319_141709,51,midair,20.0,10.0,9.40,0.60,0.694
11,Exp_20260319_141709,52,midair,40.0,10.0,9.30,0.70,1.389
11,Exp_20260319_141709,53,midair,40.0,0.0,1.74,1.74,1.007
11,Exp_20260319_141709,54,midair,40.0,30.0,27.47,2.53,0.800
11,Exp_20260319_141709,55,midair,20.0,30.0,29.48,0.52,0.874
11,Exp_20260319_141709,56,midair,20.0,0.0,0.73,0.73,1.230
11,Exp_20260319_141709,57,midair,10.0,20.0,19.31,0.69,0.865
11,Exp_20260319_141709,58,midair,30.0,10.0,11.13,1.13,1.199
11,Exp_20260319_141709,59,midair,50.0,20.0,19.43,0.57,1.289
11,Exp_20260319_141709,60,midair,40.0,30.0,30.29,0.29,0.691
11,Exp_20260319_141709,61,midair,20.0,50.0,48.49,1.51,1.245
11,Exp_20260319_141709,62,midair,0.0,10.0,10.23,0.23,1.822
11,Exp_20260319_141709,63,midair,40.0,0.0,0.38,0.38,1.868
11,Exp_20260319_141709,64,midair,30.0,50.0,50.24,0.24,1.869
11,Exp_20260319_141709,65,midair,40.0,30.0,29.63,0.37,0.722
11,Exp_20260319_141709,66,midair,40.0,10.0,11.61,1.61,1.079
11,Exp_20260319_141709,67,midair,40.0,50.0,48.97,1.03,1.199
11,Exp_20260319_141709,68,midair,10.0,0.0,-1.43,1.43,0.814
11,Exp_20260319_141709,69,midair,20.0,0.0,-0.17,0.17,1.244
11,Exp_20260319_141709,70,midair,0.0,20.0,19.32,0.68,1.263
11,Exp_20260319_141709,71,midair,10.0,20.0,21.40,1.40,0.848
11,Exp_20260319_141709,72,midair,0.0,20.0,20.10,0.10,1.266
11,Exp_20260319_141709,73,midair,50.0,40.0,39.70,0.30,0.707
11,Exp_20260319_141709,74,midair,20.0,50.0,48.90,1.10,0.884
11,Exp_20260319_141709,75,midair,30.0,40.0,40.83,0.83,0.667
11,Exp_20260319_141709,76,midair,20.0,40.0,40.53,0.53,0.846
11,Exp_20260319_141709,77,midair,0.0,30.0,29.66,0.34,0.962
11,Exp_20260319_141709,78,midair,40.0,50.0,51.06,1.06,0.828
11,Exp_20260319_141709,79,midair,40.0,10.0,10.42,0.42,1.506
11,Exp_20260319_141709,80,midair,50.0,0.0,-1.12,1.12,1.744
11,Exp_20260319_141709,81,midair,0.0,50.0,50.40,0.40,1.257
11,Exp_20260319_141709,82,midair,50.0,30.0,29.42,0.58,1.088
11,Exp_20260319_141709,83,midair,30.0,20.0,20.00,0.00,1.189
11,Exp_20260319_141709,84,midair,0.0,30.0,29.88,0.12,1.783
11,Exp_20260319_141709,85,midair,30.0,40.0,38.91,1.09,0.789
11,Exp_20260319_141709,86,midair,30.0,10.0,10.98,0.98,1.572
11,Exp_20260319_141709,87,midair,50.0,30.0,30.84,0.84,0.922
11,Exp_20260319_141709,88,midair,10.0,30.0,30.68,0.68,1.200
11,Exp_20260319_141709,89,midair,40.0,20.0,21.65,1.65,0.922
11,Exp_20260319_141709,90,midair,50.0,0.0,3.13,3.13,1.844
