UserID,Condition,Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,IsTargetTrace,StrokeID,TargetID,TrailTypeID,SurfaceTypeID,DistToCenterline,Error_X,Error_Y,Error_Z
10,Haptic,0.3555329,-0.1519205,0.03497036,0.3149078,85.78848,243.6532,340.1728,True,1,0,6,-1,0.004600897,0.000579536,-0.003036723,0.003407449
10,Haptic,0.3669319,-0.1515434,0.03497881,0.3149713,85.91161,242.33,338.833,True,1,0,6,-1,0.00468999,0.0005966425,-0.003097139,0.003470987
10,Haptic,0.3781202,-0.1508188,0.03496082,0.3150676,86.10821,240.4604,336.8974,True,1,0,6,-1,0.004867131,0.0006411672,-0.003248412,0.003567308
10,Haptic,0.3913357,-0.1504001,0.03497377,0.3151404,86.21101,238.9107,335.3233,True,1,0,6,-1,0.004967944,0.0006799251,-0.003311757,0.003640115
10,Haptic,0.3998382,-0.1500549,0.03497854,0.3151858,86.27322,237.6535,334.0378,True,1,0,6,-1,0.005044959,0.0006851256,-0.003376346,0.003685445
10,Haptic,0.4113214,-0.1494479,0.03500991,0.3151206,86.30685,235.3724,331.6593,True,1,0,6,-1,0.005062005,0.0007321239,-0.003461439,0.003620267
10,Haptic,0.4222949,-0.1490505,0.03507349,0.3151457,86.28448,234.1205,330.3124,True,1,0,6,-1,0.005094122,0.0007495433,-0.003478449,0.00364536
10,Haptic,0.4336758,-0.1484946,0.03514421,0.3151672,86.27106,232.7841,328.9087,True,1,0,6,-1,0.005143244,0.0007653534,-0.003524404,0.003666848
10,Haptic,0.444468,-0.1481891,0.03523584,0.3151709,86.19935,232.4684,328.5275,True,1,0,6,-1,0.00512915,0.0007709265,-0.003498677,0.003670573
10,Haptic,0.4556808,-0.1477893,0.03534988,0.3151314,86.18238,231.4734,327.4751,True,1,0,6,-1,0.005083808,0.0007707179,-0.003473692,0.003631055
10,Haptic,0.4666851,-0.1473963,0.03543432,0.3151826,86.21949,230.5486,326.4784,True,1,0,6,-1,0.005123462,0.0007837117,-0.003475085,0.003682315
10,Haptic,0.4781396,-0.1468553,0.0354896,0.3155258,86.42226,229.342,325.1345,True,1,0,6,-1,0.005420113,0.0008246899,-0.00353457,0.004025459
10,Haptic,0.489001,-0.1464039,0.03554797,0.3157231,86.54005,227.7803,323.4433,True,1,0,6,-1,0.005598173,0.0008360744,-0.003578883,0.00422281
10,Haptic,0.5001619,-0.1458939,0.03558825,0.3160301,86.65854,226.1607,321.677,True,1,0,6,-1,0.005882984,0.00086613,-0.003652386,0.004529834
10,Haptic,0.5113933,-0.1449566,0.03562081,0.3161945,86.68165,222.9883,318.4348,True,1,0,6,-1,0.00613029,0.0009433478,-0.003828198,0.004694194
