UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
5,Exp_20260317_152557,1,haptic,30.0,10.0,8.76,1.24,1.722
5,Exp_20260317_152557,2,haptic,20.0,40.0,38.54,1.46,2.621
5,Exp_20260317_152557,3,haptic,20.0,0.0,1.50,1.50,1.932
5,Exp_20260317_152557,4,haptic,50.0,30.0,30.23,0.23,2.499
5,Exp_20260317_152557,5,haptic,10.0,50.0,48.45,1.55,5.097
5,Exp_20260317_152557,6,haptic,10.0,30.0,31.43,1.43,2.518
5,Exp_20260317_152557,7,haptic,10.0,0.0,0.41,0.41,1.555
5,Exp_20260317_152557,8,haptic,50.0,10.0,10.52,0.52,3.220
5,Exp_20260317_152557,9,haptic,50.0,40.0,41.32,1.32,1.111
5,Exp_20260317_152557,10,haptic,10.0,30.0,29.94,0.06,3.741
5,Exp_20260317_152557,11,haptic,50.0,0.0,-0.39,0.39,3.885
5,Exp_20260317_152557,12,haptic,0.0,10.0,9.20,0.80,2.095
5,Exp_20260317_152557,13,haptic,40.0,20.0,18.76,1.24,3.798
5,Exp_20260317_152557,14,haptic,30.0,40.0,38.68,1.32,1.677
5,Exp_20260317_152557,15,haptic,20.0,30.0,29.62,0.38,3.221
5,Exp_20260317_152557,16,haptic,50.0,40.0,41.38,1.38,1.333
5,Exp_20260317_152557,17,haptic,40.0,10.0,9.37,0.63,3.609
5,Exp_20260317_152557,18,haptic,10.0,20.0,19.82,0.18,2.299
5,Exp_20260317_152557,19,haptic,10.0,0.0,-0.94,0.94,2.021
5,Exp_20260317_152557,20,haptic,50.0,0.0,-0.81,0.81,2.699
5,Exp_20260317_152557,21,haptic,30.0,10.0,8.50,1.50,1.472
5,Exp_20260317_152557,22,haptic,10.0,50.0,50.84,0.84,1.648
5,Exp_20260317_152557,23,haptic,30.0,0.0,-0.33,0.33,1.296
5,Exp_20260317_152557,24,haptic,40.0,0.0,-0.01,0.01,1.988
5,Exp_20260317_152557,25,haptic,20.0,0.0,-0.11,0.11,1.699
5,Exp_20260317_152557,26,haptic,0.0,50.0,50.27,0.27,3.176
