UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
12,Exp_20260319_144955,1,haptic,0.0,30.0,30.85,0.85,1.801
12,Exp_20260319_144955,2,haptic,30.0,20.0,21.15,1.15,1.299
12,Exp_20260319_144955,3,haptic,40.0,10.0,9.34,0.66,2.521
12,Exp_20260319_144955,4,haptic,50.0,0.0,-1.84,1.84,2.124
12,Exp_20260319_144955,5,haptic,0.0,20.0,19.56,0.44,0.855
12,Exp_20260319_144955,6,haptic,40.0,0.0,-1.30,1.30,1.580
12,Exp_20260319_144955,7,haptic,10.0,30.0,29.94,0.06,1.701
12,Exp_20260319_144955,8,haptic,0.0,40.0,39.18,0.82,2.177
12,Exp_20260319_144955,9,haptic,40.0,30.0,28.31,1.69,0.778
12,Exp_20260319_144955,10,haptic,20.0,30.0,30.35,0.35,0.722
12,Exp_20260319_144955,11,haptic,30.0,50.0,49.93,0.07,2.166
12,Exp_20260319_144955,12,haptic,30.0,10.0,8.04,1.96,0.844
12,Exp_20260319_144955,13,haptic,30.0,0.0,-0.60,0.60,1.201
12,Exp_20260319_144955,14,haptic,10.0,40.0,40.76,0.76,1.281
12,Exp_20260319_144955,15,haptic,20.0,50.0,48.97,1.03,2.502
12,Exp_20260319_144955,16,haptic,50.0,0.0,1.24,1.24,1.844
12,Exp_20260319_144955,17,haptic,50.0,20.0,18.86,1.14,0.999
12,Exp_20260319_144955,18,haptic,10.0,0.0,-1.87,1.87,0.479
12,Exp_20260319_144955,19,haptic,0.0,50.0,48.42,1.58,1.322
12,Exp_20260319_144955,20,haptic,40.0,30.0,28.35,1.65,0.711
12,Exp_20260319_144955,21,haptic,40.0,0.0,1.25,1.25,1.422
12,Exp_20260319_144955,22,haptic,10.0,20.0,20.68,0.68,1.100
12,Exp_20260319_144955,23,haptic,50.0,20.0,19.45,0.55,1.646
12,Exp_20260319_144955,24,haptic,0.0,10.0,10.80,0.80,2.254
12,Exp_20260319_144955,25,haptic,40.0,10.0,9.38,0.62,1.466
12,Exp_20260319_144955,26,haptic,20.0,10.0,9.47,0.53,0.667
12,Exp_20260319_144955,27,haptic,0.0,20.0,18.51,1.49,1.200
12,Exp_20260319_144955,28,haptic,10.0,30.0,29.77,0.23,1.899
12,Exp_20260319_144955,29,haptic,0.0,20.0,21.17,1.17,1.462
12,Exp_20260319_144955,30,haptic,30.0,0.0,0.46,0.46,0.878
12,Exp_20260319_144955,31,haptic,0.0,30.0,29.65,0.35,1.099
12,Exp_20260319_144955,32,haptic,20.0,0.0,0.62,0.62,0.603
12,Exp_20260319_144955,33,haptic,30.0,20.0,20.60,0.60,0.399
12,Exp_20260319_144955,34,haptic,50.0,40.0,41.65,1.65,0.379
12,Exp_20260319_144955,35,haptic,0.0,50.0,49.19,0.81,2.495
12,Exp_20260319_144955,36,haptic,10.0,40.0,39.54,0.46,1.843
12,Exp_20260319_144955,37,haptic,20.0,40.0,38.77,1.23,1.177
12,Exp_20260319_144955,38,haptic,10.0,40.0,40.47,0.47,1.853
12,Exp_20260319_144955,39,haptic,40.0,0.0,-1.75,1.75,1.945
12,Exp_20260319_144955,40,haptic,10.0,0.0,-0.06,0.06,0.799
12,Exp_20260319_144955,41,haptic,20.0,40.0,39.10,0.90,1.302
12,Exp_20260319_144955,42,haptic,0.0,40.0,38.23,1.77,1.977
12,Exp_20260319_144955,43,haptic,0.0,50.0,48.75,1.25,2.075
12,Exp_20260319_144955,44,haptic,0.0,40.0,39.98,0.02,1.858
12,Exp_20260319_144955,45,haptic,30.0,40.0,38.42,1.58,0.701
12,Exp_20260319_144955,46,haptic,20.0,50.0,51.17,1.17,1.422
12,Exp_20260319_144955,47,haptic,50.0,0.0,-1.05,1.05,2.343
12,Exp_20260319_144955,48,haptic,20.0,0.0,-0.62,0.62,1.433
12,Exp_20260319_144955,49,haptic,40.0,10.0,9.41,0.59,1.204
12,Exp_20260319_144955,50,haptic,30.0,40.0,41.19,1.19,0.900
12,Exp_20260319_144955,51,haptic,40.0,30.0,28.80,1.20,0.478
12,Exp_20260319_144955,52,haptic,30.0,40.0,40.31,0.31,0.621
12,Exp_20260319_144955,53,haptic,50.0,30.0,30.74,0.74,0.598
12,Exp_20260319_144955,54,haptic,0.0,10.0,10.44,0.44,1.499
12,Exp_20260319_144955,55,haptic,20.0,30.0,31.23,1.23,2.317
12,Exp_20260319_144955,56,haptic,40.0,20.0,18.85,1.15,1.577
12,Exp_20260319_144955,57,haptic,20.0,0.0,-0.89,0.89,1.679
12,Exp_20260319_144955,58,haptic,0.0,10.0,9.80,0.20,0.757
12,Exp_20260319_144955,59,haptic,50.0,30.0,29.34,0.66,1.442
12,Exp_20260319_144955,60,haptic,50.0,30.0,29.32,0.68,1.601
12,Exp_20260319_144955,61,haptic,40.0,20.0,20.31,0.31,1.280
12,Exp_20260319_144955,62,haptic,50.0,10.0,9.20,0.80,1.400
12,Exp_20260319_144955,63,haptic,20.0,50.0,48.64,1.36,1.996
12,Exp_20260319_144955,64,haptic,20.0,10.0,9.09,0.91,0.803
12,Exp_20260319_144955,65,haptic,50.0,40.0,41.61,1.61,1.400
12,Exp_20260319_144955,66,haptic,30.0,50.0,49.95,0.05,1.946
12,Exp_20260319_144955,67,haptic,40.0,20.0,20.61,0.61,1.644
12,Exp_20260319_144955,68,haptic,30.0,0.0,-0.34,0.34,1.523
12,Exp_20260319_144955,69,haptic,40.0,50.0,48.41,1.59,0.839
12,Exp_20260319_144955,70,haptic,30.0,50.0,49.85,0.15,1.500
12,Exp_20260319_144955,71,haptic,40.0,50.0,49.18,0.82,1.344
12,Exp_20260319_144955,72,haptic,0.0,30.0,30.35,0.35,2.066
12,Exp_20260319_144955,73,haptic,50.0,40.0,38.01,1.99,0.740
12,Exp_20260319_144955,74,haptic,50.0,20.0,19.01,0.99,1.362
12,Exp_20260319_144955,75,haptic,50.0,10.0,10.29,0.29,1.299
12,Exp_20260319_144955,76,haptic,30.0,10.0,11.92,1.92,0.757
12,Exp_20260319_144955,77,haptic,20.0,10.0,9.20,0.80,0.519
12,Exp_20260319_144955,78,haptic,10.0,30.0,31.39,1.39,1.705
12,Exp_20260319_144955,79,haptic,20.0,30.0,29.06,0.94,1.243
12,Exp_20260319_144955,80,haptic,10.0,20.0,20.01,0.01,0.943
12,Exp_20260319_144955,81,haptic,40.0,50.0,51.26,1.26,1.378
12,Exp_20260319_144955,82,haptic,20.0,40.0,40.87,0.87,1.099
12,Exp_20260319_144955,83,haptic,10.0,50.0,51.64,1.64,1.925
12,Exp_20260319_144955,84,haptic,30.0,20.0,18.85,1.15,0.761
12,Exp_20260319_144955,85,haptic,10.0,0.0,-0.74,0.74,0.802
12,Exp_20260319_144955,86,haptic,50.0,10.0,8.21,1.79,1.677
12,Exp_20260319_144955,87,haptic,10.0,20.0,21.93,1.93,0.533
12,Exp_20260319_144955,88,haptic,10.0,50.0,51.01,1.01,2.479
12,Exp_20260319_144955,89,haptic,10.0,50.0,49.50,0.50,3.221
12,Exp_20260319_144955,90,haptic,30.0,10.0,9.45,0.55,2.343
