UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
1,Exp_20260316_183514,1,haptic,0.0,10.0,12.32,2.32,0.966
1,Exp_20260316_183514,2,haptic,40.0,50.0,52.48,2.48,1.300
1,Exp_20260316_183514,3,haptic,50.0,20.0,19.72,0.28,1.599
1,Exp_20260316_183514,4,haptic,20.0,0.0,3.44,3.44,0.610
1,Exp_20260316_183514,5,haptic,50.0,30.0,33.55,3.55,0.589
1,Exp_20260316_183514,6,haptic,10.0,50.0,47.95,2.05,2.278
1,Exp_20260316_183514,7,haptic,10.0,50.0,48.69,1.31,1.845
1,Exp_20260316_183514,8,haptic,40.0,30.0,29.48,0.52,0.866
1,Exp_20260316_183514,9,haptic,20.0,10.0,13.12,3.12,0.800
1,Exp_20260316_183514,10,haptic,10.0,40.0,40.41,0.41,1.643
1,Exp_20260316_183514,11,haptic,30.0,10.0,10.32,0.32,1.548
1,Exp_20260316_183514,12,haptic,20.0,40.0,39.58,0.42,1.388
1,Exp_20260316_183514,13,haptic,20.0,40.0,40.50,0.50,2.166
1,Exp_20260316_183514,14,haptic,0.0,40.0,39.28,0.72,2.232
1,Exp_20260316_183514,15,haptic,0.0,40.0,41.54,1.54,1.355
1,Exp_20260316_183514,16,haptic,50.0,40.0,37.36,2.64,0.422
1,Exp_20260316_183514,17,haptic,40.0,0.0,2.11,2.11,1.577
1,Exp_20260316_183514,18,haptic,40.0,10.0,8.50,1.50,0.999
1,Exp_20260316_183514,19,haptic,0.0,10.0,12.45,2.45,0.768
1,Exp_20260316_183514,20,haptic,50.0,40.0,39.28,0.72,0.477
1,Exp_20260316_183514,21,haptic,50.0,30.0,29.56,0.44,0.655
1,Exp_20260316_183514,22,haptic,10.0,20.0,22.46,2.46,0.877
1,Exp_20260316_183514,23,haptic,0.0,20.0,20.05,0.05,0.988
1,Exp_20260316_183514,24,haptic,0.0,50.0,49.33,0.67,2.010
1,Exp_20260316_183514,25,haptic,10.0,0.0,0.90,0.90,0.592
1,Exp_20260316_183514,26,haptic,40.0,10.0,10.35,0.35,0.813
1,Exp_20260316_183514,27,haptic,10.0,30.0,26.96,3.04,1.144
1,Exp_20260316_183514,28,haptic,50.0,40.0,38.69,1.31,0.422
1,Exp_20260316_183514,29,haptic,50.0,10.0,10.94,0.94,1.008
1,Exp_20260316_183514,30,haptic,20.0,40.0,38.28,1.72,1.591
1,Exp_20260316_183514,31,haptic,50.0,10.0,9.15,0.85,1.555
1,Exp_20260316_183514,32,haptic,10.0,20.0,22.90,2.90,1.099
1,Exp_20260316_183514,33,haptic,40.0,20.0,22.07,2.07,0.799
1,Exp_20260316_183514,34,haptic,30.0,40.0,42.01,2.01,1.378
1,Exp_20260316_183514,35,haptic,0.0,30.0,30.65,0.65,1.771
1,Exp_20260316_183514,36,haptic,10.0,30.0,32.52,2.52,1.311
1,Exp_20260316_183514,37,haptic,30.0,10.0,9.14,0.86,0.501
1,Exp_20260316_183514,38,haptic,50.0,0.0,8.22,8.22,0.863
1,Exp_20260316_183514,39,haptic,30.0,40.0,39.45,0.55,1.243
1,Exp_20260316_183514,40,haptic,0.0,30.0,28.54,1.46,1.532
1,Exp_20260316_183514,41,haptic,30.0,20.0,23.13,3.13,0.900
1,Exp_20260316_183514,42,haptic,50.0,20.0,19.61,0.39,1.444
1,Exp_20260316_183514,43,haptic,50.0,0.0,1.07,1.07,1.599
1,Exp_20260316_183514,44,haptic,30.0,40.0,39.31,0.69,2.279
1,Exp_20260316_183514,45,haptic,30.0,0.0,-0.35,0.35,2.388
1,Exp_20260316_183514,46,haptic,20.0,50.0,50.23,0.23,1.790
1,Exp_20260316_183514,47,haptic,40.0,30.0,30.25,0.25,0.792
1,Exp_20260316_183514,48,haptic,30.0,50.0,49.33,0.67,1.160
1,Exp_20260316_183514,49,haptic,20.0,30.0,31.10,1.10,1.766
1,Exp_20260316_183514,50,haptic,40.0,50.0,50.45,0.45,1.022
1,Exp_20260316_183514,51,haptic,10.0,50.0,49.32,0.68,2.529
1,Exp_20260316_183514,52,haptic,30.0,0.0,-1.61,1.61,1.566
1,Exp_20260316_183514,53,haptic,10.0,40.0,42.41,2.41,1.478
1,Exp_20260316_183514,54,haptic,40.0,30.0,30.84,0.84,0.532
1,Exp_20260316_183514,55,haptic,50.0,20.0,20.76,0.76,0.699
1,Exp_20260316_183514,56,haptic,30.0,50.0,50.48,0.48,1.521
1,Exp_20260316_183514,57,haptic,0.0,30.0,29.86,0.14,1.433
1,Exp_20260316_183514,58,haptic,40.0,20.0,17.76,2.24,0.644
1,Exp_20260316_183514,59,haptic,20.0,50.0,52.83,2.83,1.599
1,Exp_20260316_183514,60,haptic,40.0,20.0,20.93,0.93,1.489
1,Exp_20260316_183514,61,haptic,0.0,10.0,11.75,1.75,0.661
1,Exp_20260316_183514,62,haptic,20.0,0.0,2.64,2.64,0.608
1,Exp_20260316_183514,63,haptic,50.0,10.0,13.29,3.29,0.878
1,Exp_20260316_183514,64,haptic,0.0,20.0,19.87,0.13,1.699
1,Exp_20260316_183514,65,haptic,10.0,20.0,19.44,0.56,2.254
1,Exp_20260316_183514,66,haptic,0.0,50.0,52.21,2.21,1.935
1,Exp_20260316_183514,67,haptic,20.0,30.0,31.38,1.38,0.875
1,Exp_20260316_183514,68,haptic,30.0,0.0,0.80,0.80,1.455
1,Exp_20260316_183514,69,haptic,50.0,30.0,28.35,1.65,0.633
1,Exp_20260316_183514,70,haptic,10.0,30.0,34.30,4.30,0.963
1,Exp_20260316_183514,71,haptic,0.0,20.0,20.22,0.22,0.721
1,Exp_20260316_183514,72,haptic,30.0,20.0,20.49,0.49,0.344
1,Exp_20260316_183514,73,haptic,10.0,40.0,39.47,0.53,1.710
1,Exp_20260316_183514,74,haptic,20.0,10.0,11.34,1.34,0.679
1,Exp_20260316_183514,75,haptic,20.0,10.0,10.39,0.39,0.312
1,Exp_20260316_183514,76,haptic,40.0,0.0,7.15,7.15,0.763
1,Exp_20260316_183514,77,haptic,10.0,0.0,1.58,1.58,1.377
1,Exp_20260316_183514,78,haptic,20.0,30.0,30.66,0.66,1.100
1,Exp_20260316_183514,79,haptic,40.0,0.0,0.49,0.49,1.677
1,Exp_20260316_183514,80,haptic,0.0,50.0,50.66,0.66,2.276
1,Exp_20260316_183514,81,haptic,30.0,20.0,18.28,1.72,0.699
1,Exp_20260316_183514,82,haptic,0.0,40.0,40.22,0.22,1.693
1,Exp_20260316_183514,83,haptic,50.0,0.0,2.36,2.36,1.813
1,Exp_20260316_183514,84,haptic,20.0,0.0,3.86,3.86,2.543
1,Exp_20260316_183514,85,haptic,40.0,50.0,50.97,0.97,1.300
1,Exp_20260316_183514,86,haptic,10.0,0.0,-0.31,0.31,1.344
1,Exp_20260316_183514,87,haptic,30.0,10.0,11.62,1.62,1.743
1,Exp_20260316_183514,88,haptic,30.0,50.0,50.25,0.25,1.410
1,Exp_20260316_183514,89,haptic,20.0,50.0,48.05,1.95,1.621
1,Exp_20260316_183514,90,haptic,40.0,10.0,9.50,0.50,1.677
