UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
7,Exp_20260317_175116,1,0.011,-9.99
7,Exp_20260317_175116,1,0.022,-9.97
7,Exp_20260317_175116,1,0.033,-9.95
7,Exp_20260317_175116,1,0.045,-9.94
7,Exp_20260317_175116,1,0.056,-9.92
7,Exp_20260317_175116,1,0.067,-9.95
7,Exp_20260317_175116,1,0.078,-9.95
7,Exp_20260317_175116,1,0.089,-9.93
7,Exp_20260317_175116,1,0.101,-9.93
7,Exp_20260317_175116,1,0.117,-9.90
7,Exp_20260317_175116,1,0.133,-9.86
7,Exp_20260317_175116,1,0.150,-9.86
7,Exp_20260317_175116,1,0.167,-9.89
7,Exp_20260317_175116,1,0.178,-9.93
7,Exp_20260317_175116,1,0.190,-9.92
7,Exp_20260317_175116,1,0.200,-9.88
7,Exp_20260317_175116,1,0.211,-9.88
7,Exp_20260317_175116,1,0.222,-9.84
7,Exp_20260317_175116,1,0.233,-9.86
7,Exp_20260317_175116,1,0.244,-9.88
7,Exp_20260317_175116,1,0.255,-9.87
7,Exp_20260317_175116,1,0.266,-9.76
7,Exp_20260317_175116,1,0.278,-9.71
7,Exp_20260317_175116,1,0.288,-9.65
7,Exp_20260317_175116,1,0.299,-9.53
7,Exp_20260317_175116,1,0.311,-9.37
7,Exp_20260317_175116,1,0.322,-9.17
7,Exp_20260317_175116,1,0.333,-8.92
7,Exp_20260317_175116,1,0.345,-8.67
7,Exp_20260317_175116,1,0.348,-8.61
7,Exp_20260317_175116,1,0.366,-8.21
7,Exp_20260317_175116,1,0.377,-7.99
7,Exp_20260317_175116,1,0.389,-7.73
7,Exp_20260317_175116,1,0.399,-7.43
7,Exp_20260317_175116,1,0.410,-7.14
7,Exp_20260317_175116,1,0.422,-6.89
7,Exp_20260317_175116,1,0.433,-6.70
7,Exp_20260317_175116,1,0.444,-6.46
7,Exp_20260317_175116,1,0.455,-6.25
7,Exp_20260317_175116,1,0.466,-5.97
7,Exp_20260317_175116,1,0.477,-5.67
7,Exp_20260317_175116,1,0.488,-5.32
7,Exp_20260317_175116,1,0.499,-4.92
7,Exp_20260317_175116,1,0.511,-4.60
7,Exp_20260317_175116,1,0.522,-4.26
7,Exp_20260317_175116,1,0.533,-3.87
7,Exp_20260317_175116,1,0.544,-3.55
7,Exp_20260317_175116,1,0.555,-3.24
7,Exp_20260317_175116,1,0.566,-2.85
7,Exp_20260317_175116,1,0.577,-2.54
7,Exp_20260317_175116,1,0.589,-2.23
7,Exp_20260317_175116,1,0.599,-1.83
7,Exp_20260317_175116,1,0.611,-1.48
7,Exp_20260317_175116,1,0.622,-1.07
7,Exp_20260317_175116,1,0.633,-0.73
