UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
10,Exp_20260318_131045,1,0.012,-19.77
10,Exp_20260318_131045,1,0.023,-19.60
10,Exp_20260318_131045,1,0.033,-19.59
10,Exp_20260318_131045,1,0.045,-19.76
10,Exp_20260318_131045,1,0.056,-19.84
10,Exp_20260318_131045,1,0.073,-19.97
10,Exp_20260318_131045,1,0.078,-19.82
10,Exp_20260318_131045,1,0.090,-19.78
10,Exp_20260318_131045,1,0.107,-19.72
10,Exp_20260318_131045,1,0.117,-19.74
10,Exp_20260318_131045,1,0.122,-19.90
10,Exp_20260318_131045,1,0.133,-19.69
10,Exp_20260318_131045,1,0.145,-19.65
10,Exp_20260318_131045,1,0.156,-19.72
10,Exp_20260318_131045,1,0.167,-19.79
10,Exp_20260318_131045,1,0.178,-20.41
10,Exp_20260318_131045,1,0.189,-20.29
10,Exp_20260318_131045,1,0.200,-20.01
10,Exp_20260318_131045,1,0.212,-19.64
10,Exp_20260318_131045,1,0.222,-19.54
10,Exp_20260318_131045,1,0.234,-19.33
10,Exp_20260318_131045,1,0.245,-19.28
10,Exp_20260318_131045,1,0.256,-19.20
10,Exp_20260318_131045,1,0.267,-19.11
10,Exp_20260318_131045,1,0.279,-19.19
10,Exp_20260318_131045,1,0.291,-19.44
10,Exp_20260318_131045,1,0.302,-19.90
10,Exp_20260318_131045,1,0.314,-19.93
10,Exp_20260318_131045,1,0.325,-20.10
10,Exp_20260318_131045,1,0.336,-20.09
10,Exp_20260318_131045,1,0.347,-19.90
10,Exp_20260318_131045,1,0.359,-19.74
10,Exp_20260318_131045,1,0.370,-19.62
10,Exp_20260318_131045,1,0.381,-19.45
10,Exp_20260318_131045,1,0.392,-19.09
10,Exp_20260318_131045,1,0.406,-18.48
10,Exp_20260318_131045,1,0.415,-18.36
10,Exp_20260318_131045,1,0.426,-18.64
10,Exp_20260318_131045,1,0.438,-18.83
10,Exp_20260318_131045,1,0.449,-19.08
10,Exp_20260318_131045,1,0.461,-19.02
10,Exp_20260318_131045,1,0.472,-18.95
10,Exp_20260318_131045,1,0.483,-18.85
10,Exp_20260318_131045,1,0.494,-18.66
10,Exp_20260318_131045,1,0.505,-18.41
10,Exp_20260318_131045,1,0.516,-18.21
10,Exp_20260318_131045,1,0.527,-18.18
10,Exp_20260318_131045,1,0.538,-18.05
10,Exp_20260318_131045,1,0.550,-17.60
10,Exp_20260318_131045,1,0.561,-17.27
10,Exp_20260318_131045,1,0.572,-17.15
10,Exp_20260318_131045,1,0.583,-17.20
10,Exp_20260318_131045,1,0.594,-17.10
10,Exp_20260318_131045,1,0.605,-16.69
10,Exp_20260318_131045,1,0.616,-16.32
10,Exp_20260318_131045,1,0.627,-16.27
10,Exp_20260318_131045,1,0.638,-16.19
10,Exp_20260318_131045,1,0.649,-16.08
10,Exp_20260318_131045,1,0.660,-16.38
10,Exp_20260318_131045,1,0.672,-16.21
10,Exp_20260318_131045,1,0.683,-16.02
10,Exp_20260318_131045,1,0.694,-15.79
10,Exp_20260318_131045,1,0.705,-15.60
10,Exp_20260318_131045,1,0.716,-15.43
10,Exp_20260318_131045,1,0.727,-15.23
10,Exp_20260318_131045,1,0.738,-15.11
10,Exp_20260318_131045,1,0.749,-14.90
10,Exp_20260318_131045,1,0.761,-14.75
