UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
16,Exp_20260320_143848,1,0.012,49.94
16,Exp_20260320_143848,1,0.022,49.93
16,Exp_20260320_143848,1,0.033,49.96
16,Exp_20260320_143848,1,0.045,49.91
16,Exp_20260320_143848,1,0.055,49.88
16,Exp_20260320_143848,1,0.067,49.86
16,Exp_20260320_143848,1,0.081,49.81
16,Exp_20260320_143848,1,0.089,49.77
16,Exp_20260320_143848,1,0.100,49.74
16,Exp_20260320_143848,1,0.112,49.68
16,Exp_20260320_143848,1,0.125,49.62
16,Exp_20260320_143848,1,0.133,49.57
16,Exp_20260320_143848,1,0.145,49.52
16,Exp_20260320_143848,1,0.156,49.45
16,Exp_20260320_143848,1,0.167,49.33
16,Exp_20260320_143848,1,0.178,49.17
16,Exp_20260320_143848,1,0.192,48.87
16,Exp_20260320_143848,1,0.200,48.62
16,Exp_20260320_143848,1,0.212,48.41
16,Exp_20260320_143848,1,0.222,48.25
16,Exp_20260320_143848,1,0.233,48.08
16,Exp_20260320_143848,1,0.244,47.85
16,Exp_20260320_143848,1,0.255,47.45
16,Exp_20260320_143848,1,0.267,47.24
16,Exp_20260320_143848,1,0.280,47.06
16,Exp_20260320_143848,1,0.291,46.84
16,Exp_20260320_143848,1,0.300,46.57
16,Exp_20260320_143848,1,0.311,46.36
16,Exp_20260320_143848,1,0.322,46.22
16,Exp_20260320_143848,1,0.334,46.10
16,Exp_20260320_143848,1,0.344,45.85
16,Exp_20260320_143848,1,0.356,45.65
16,Exp_20260320_143848,1,0.367,45.43
16,Exp_20260320_143848,1,0.378,45.15
16,Exp_20260320_143848,1,0.391,44.83
16,Exp_20260320_143848,1,0.403,44.62
16,Exp_20260320_143848,1,0.411,44.36
16,Exp_20260320_143848,1,0.423,43.74
16,Exp_20260320_143848,1,0.436,43.36
16,Exp_20260320_143848,1,0.444,42.96
16,Exp_20260320_143848,1,0.455,42.33
16,Exp_20260320_143848,1,0.467,41.62
16,Exp_20260320_143848,1,0.478,40.96
16,Exp_20260320_143848,1,0.489,40.30
16,Exp_20260320_143848,1,0.500,40.54
16,Exp_20260320_143848,1,0.514,41.05
16,Exp_20260320_143848,1,0.522,42.00
16,Exp_20260320_143848,1,0.534,42.61
16,Exp_20260320_143848,1,0.545,43.22
16,Exp_20260320_143848,1,0.556,43.69
16,Exp_20260320_143848,1,0.567,43.97
16,Exp_20260320_143848,1,0.578,44.18
16,Exp_20260320_143848,1,0.591,44.16
16,Exp_20260320_143848,1,0.600,44.20
16,Exp_20260320_143848,1,0.612,44.20
16,Exp_20260320_143848,1,0.625,44.15
16,Exp_20260320_143848,1,0.633,44.13
16,Exp_20260320_143848,1,0.644,44.15
16,Exp_20260320_143848,1,0.655,44.18
16,Exp_20260320_143848,1,0.667,44.20
16,Exp_20260320_143848,1,0.678,44.15
16,Exp_20260320_143848,1,0.689,44.15
16,Exp_20260320_143848,1,0.700,44.21
16,Exp_20260320_143848,1,0.711,44.28
16,Exp_20260320_143848,1,0.722,44.27
16,Exp_20260320_143848,1,0.736,44.29
16,Exp_20260320_143848,1,0.746,44.22
16,Exp_20260320_143848,1,0.755,44.15
16,Exp_20260320_143848,1,0.767,44.11
16,Exp_20260320_143848,1,0.778,44.14
16,Exp_20260320_143848,1,0.789,44.00
16,Exp_20260320_143848,1,0.800,43.94
16,Exp_20260320_143848,1,0.811,43.86
16,Exp_20260320_143848,1,0.822,43.68
16,Exp_20260320_143848,1,0.833,43.56
16,Exp_20260320_143848,1,0.849,43.30
16,Exp_20260320_143848,1,0.855,43.15
