UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
13,Exp_20260319_154616,1,0.011,-20.02
13,Exp_20260319_154616,1,0.024,-20.00
13,Exp_20260319_154616,1,0.033,-19.99
13,Exp_20260319_154616,1,0.044,-19.99
13,Exp_20260319_154616,1,0.056,-19.98
13,Exp_20260319_154616,1,0.066,-19.98
13,Exp_20260319_154616,1,0.077,-19.97
13,Exp_20260319_154616,1,0.090,-19.96
13,Exp_20260319_154616,1,0.103,-19.96
13,Exp_20260319_154616,1,0.111,-19.96
13,Exp_20260319_154616,1,0.123,-19.95
13,Exp_20260319_154616,1,0.133,-19.99
13,Exp_20260319_154616,1,0.144,-20.02
13,Exp_20260319_154616,1,0.155,-20.01
13,Exp_20260319_154616,1,0.166,-20.01
13,Exp_20260319_154616,1,0.180,-20.00
13,Exp_20260319_154616,1,0.188,-19.98
13,Exp_20260319_154616,1,0.200,-19.95
13,Exp_20260319_154616,1,0.214,-19.96
13,Exp_20260319_154616,1,0.222,-19.93
13,Exp_20260319_154616,1,0.233,-19.90
13,Exp_20260319_154616,1,0.244,-19.90
13,Exp_20260319_154616,1,0.255,-19.93
13,Exp_20260319_154616,1,0.266,-19.97
13,Exp_20260319_154616,1,0.278,-19.98
13,Exp_20260319_154616,1,0.289,-20.02
13,Exp_20260319_154616,1,0.299,-19.99
13,Exp_20260319_154616,1,0.311,-19.96
13,Exp_20260319_154616,1,0.333,-19.95
13,Exp_20260319_154616,1,0.341,-19.92
13,Exp_20260319_154616,1,0.344,-19.91
13,Exp_20260319_154616,1,0.353,-19.86
13,Exp_20260319_154616,1,0.364,-19.83
13,Exp_20260319_154616,1,0.375,-19.78
13,Exp_20260319_154616,1,0.386,-19.70
13,Exp_20260319_154616,1,0.397,-19.53
13,Exp_20260319_154616,1,0.408,-19.39
13,Exp_20260319_154616,1,0.419,-19.24
13,Exp_20260319_154616,1,0.433,-18.98
13,Exp_20260319_154616,1,0.441,-18.75
13,Exp_20260319_154616,1,0.452,-18.52
13,Exp_20260319_154616,1,0.464,-18.14
13,Exp_20260319_154616,1,0.477,-17.80
13,Exp_20260319_154616,1,0.485,-17.57
13,Exp_20260319_154616,1,0.499,-17.28
13,Exp_20260319_154616,1,0.508,-16.96
13,Exp_20260319_154616,1,0.519,-16.64
13,Exp_20260319_154616,1,0.530,-16.28
13,Exp_20260319_154616,1,0.544,-15.98
13,Exp_20260319_154616,1,0.552,-15.64
13,Exp_20260319_154616,1,0.563,-15.30
13,Exp_20260319_154616,1,0.575,-15.02
13,Exp_20260319_154616,1,0.586,-14.65
13,Exp_20260319_154616,1,0.597,-14.18
13,Exp_20260319_154616,1,0.608,-13.83
13,Exp_20260319_154616,1,0.619,-13.42
13,Exp_20260319_154616,1,0.630,-12.93
13,Exp_20260319_154616,1,0.641,-12.59
13,Exp_20260319_154616,1,0.655,-12.15
13,Exp_20260319_154616,1,0.663,-11.71
13,Exp_20260319_154616,1,0.675,-11.29
13,Exp_20260319_154616,1,0.686,-10.90
13,Exp_20260319_154616,1,0.697,-10.44
13,Exp_20260319_154616,1,0.708,-10.05
13,Exp_20260319_154616,1,0.720,-9.69
13,Exp_20260319_154616,1,0.731,-9.25
