UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
4,Exp_20260317_143436,1,haptic,50.0,20.0,18.67,1.33,1.602
4,Exp_20260317_143436,2,haptic,40.0,10.0,10.14,0.14,1.976
4,Exp_20260317_143436,3,haptic,30.0,10.0,10.00,0.00,0.991
4,Exp_20260317_143436,4,haptic,40.0,0.0,1.44,1.44,2.380
4,Exp_20260317_143436,5,haptic,50.0,0.0,1.80,1.80,2.229
4,Exp_20260317_143436,6,haptic,10.0,30.0,30.59,0.59,2.512
4,Exp_20260317_143436,7,haptic,50.0,40.0,40.74,0.74,1.333
4,Exp_20260317_143436,8,haptic,30.0,40.0,39.38,0.62,1.100
4,Exp_20260317_143436,9,haptic,0.0,50.0,49.30,0.70,2.066
4,Exp_20260317_143436,10,haptic,0.0,10.0,9.79,0.21,1.947
4,Exp_20260317_143436,11,haptic,50.0,0.0,0.51,0.51,2.698
4,Exp_20260317_143436,12,haptic,10.0,0.0,0.10,0.10,0.968
4,Exp_20260317_143436,13,haptic,40.0,10.0,9.08,0.92,1.066
4,Exp_20260317_143436,14,haptic,20.0,10.0,8.93,1.07,0.745
4,Exp_20260317_143436,15,haptic,30.0,10.0,11.35,1.35,0.823
4,Exp_20260317_143436,16,haptic,20.0,50.0,50.11,0.11,1.910
4,Exp_20260317_143436,17,haptic,40.0,50.0,48.78,1.22,1.009
4,Exp_20260317_143436,18,haptic,50.0,10.0,8.76,1.24,2.521
4,Exp_20260317_143436,19,haptic,50.0,30.0,28.90,1.10,1.258
4,Exp_20260317_143436,20,haptic,40.0,20.0,20.97,0.97,1.821
4,Exp_20260317_143436,21,haptic,30.0,0.0,0.92,0.92,2.003
4,Exp_20260317_143436,22,haptic,0.0,50.0,49.70,0.30,2.524
4,Exp_20260317_143436,23,haptic,10.0,30.0,30.11,0.11,1.732
4,Exp_20260317_143436,24,haptic,0.0,40.0,39.47,0.53,4.912
4,Exp_20260317_143436,25,haptic,0.0,10.0,10.12,0.12,1.324
4,Exp_20260317_143436,26,haptic,10.0,40.0,39.59,0.41,1.947
4,Exp_20260317_143436,27,haptic,40.0,20.0,21.02,1.02,1.599
4,Exp_20260317_143436,28,haptic,50.0,10.0,8.49,1.51,2.054
4,Exp_20260317_143436,29,haptic,0.0,30.0,29.91,0.09,2.698
4,Exp_20260317_143436,30,haptic,40.0,30.0,29.89,0.11,1.060
4,Exp_20260317_143436,31,haptic,30.0,10.0,9.18,0.82,1.600
4,Exp_20260317_143436,32,haptic,40.0,30.0,30.36,0.36,0.824
4,Exp_20260317_143436,33,haptic,20.0,50.0,49.59,0.41,2.523
4,Exp_20260317_143436,34,haptic,20.0,0.0,0.63,0.63,2.103
4,Exp_20260317_143436,35,haptic,10.0,20.0,21.29,1.29,1.999
4,Exp_20260317_143436,36,haptic,0.0,20.0,20.51,0.51,1.788
4,Exp_20260317_143436,37,haptic,50.0,0.0,-1.95,1.95,2.580
4,Exp_20260317_143436,38,haptic,10.0,40.0,39.62,0.38,2.045
4,Exp_20260317_143436,39,haptic,0.0,20.0,20.88,0.88,1.537
4,Exp_20260317_143436,40,haptic,50.0,40.0,39.34,0.66,0.994
4,Exp_20260317_143436,41,haptic,20.0,10.0,8.26,1.74,1.879
4,Exp_20260317_143436,42,haptic,30.0,40.0,38.96,1.04,1.093
4,Exp_20260317_143436,43,haptic,40.0,50.0,50.53,0.53,1.683
4,Exp_20260317_143436,44,haptic,30.0,50.0,49.44,0.56,3.099
4,Exp_20260317_143436,45,haptic,30.0,40.0,38.25,1.75,1.222
4,Exp_20260317_143436,46,haptic,20.0,0.0,0.89,0.89,2.011
4,Exp_20260317_143436,47,haptic,20.0,30.0,29.73,0.27,0.880
4,Exp_20260317_143436,48,haptic,30.0,20.0,20.39,0.39,0.846
4,Exp_20260317_143436,49,haptic,20.0,50.0,48.75,1.25,2.099
4,Exp_20260317_143436,50,haptic,0.0,30.0,31.30,1.30,1.521
4,Exp_20260317_143436,51,haptic,30.0,20.0,19.85,0.15,1.033
4,Exp_20260317_143436,52,haptic,30.0,0.0,-1.00,1.00,0.889
4,Exp_20260317_143436,53,haptic,20.0,10.0,9.56,0.44,0.334
4,Exp_20260317_143436,54,haptic,30.0,0.0,1.37,1.37,0.707
4,Exp_20260317_143436,55,haptic,10.0,40.0,40.07,0.07,1.107
4,Exp_20260317_143436,56,haptic,0.0,10.0,11.67,1.67,0.512
4,Exp_20260317_143436,57,haptic,40.0,20.0,20.68,0.68,0.903
4,Exp_20260317_143436,58,haptic,0.0,30.0,29.71,0.29,1.661
4,Exp_20260317_143436,59,haptic,10.0,0.0,1.19,1.19,0.533
4,Exp_20260317_143436,60,haptic,10.0,50.0,50.12,0.12,1.944
4,Exp_20260317_143436,61,haptic,10.0,50.0,50.99,0.99,1.644
4,Exp_20260317_143436,62,haptic,20.0,40.0,40.74,0.74,0.680
4,Exp_20260317_143436,63,haptic,50.0,10.0,10.55,0.55,1.057
4,Exp_20260317_143436,64,haptic,20.0,40.0,38.72,1.28,0.861
4,Exp_20260317_143436,65,haptic,30.0,50.0,50.62,0.62,2.179
4,Exp_20260317_143436,66,haptic,50.0,40.0,40.17,0.17,0.900
4,Exp_20260317_143436,67,haptic,0.0,40.0,38.73,1.27,1.455
4,Exp_20260317_143436,68,haptic,0.0,40.0,40.41,0.41,1.144
4,Exp_20260317_143436,69,haptic,10.0,20.0,21.83,1.83,0.621
4,Exp_20260317_143436,70,haptic,40.0,0.0,0.08,0.08,1.610
4,Exp_20260317_143436,71,haptic,50.0,30.0,28.75,1.25,2.190
4,Exp_20260317_143436,72,haptic,20.0,40.0,40.37,0.37,1.858
4,Exp_20260317_143436,73,haptic,10.0,20.0,20.11,0.11,1.560
4,Exp_20260317_143436,74,haptic,50.0,30.0,31.14,1.14,0.944
4,Exp_20260317_143436,75,haptic,20.0,30.0,28.39,1.61,0.600
4,Exp_20260317_143436,76,haptic,40.0,50.0,49.05,0.95,0.759
4,Exp_20260317_143436,77,haptic,10.0,0.0,0.45,0.45,1.066
4,Exp_20260317_143436,78,haptic,10.0,30.0,30.09,0.09,1.354
4,Exp_20260317_143436,79,haptic,0.0,50.0,50.37,0.37,1.766
4,Exp_20260317_143436,80,haptic,30.0,20.0,21.43,1.43,1.038
4,Exp_20260317_143436,81,haptic,40.0,30.0,29.61,0.39,0.634
4,Exp_20260317_143436,82,haptic,40.0,0.0,1.74,1.74,1.488
4,Exp_20260317_143436,83,haptic,20.0,0.0,-0.45,0.45,0.975
4,Exp_20260317_143436,84,haptic,30.0,50.0,51.83,1.83,1.023
4,Exp_20260317_143436,85,haptic,50.0,20.0,19.61,0.39,0.913
4,Exp_20260317_143436,86,haptic,10.0,50.0,49.04,0.96,1.844
4,Exp_20260317_143436,87,haptic,40.0,10.0,9.87,0.13,0.813
4,Exp_20260317_143436,88,haptic,0.0,20.0,21.81,1.81,0.745
4,Exp_20260317_143436,89,haptic,50.0,20.0,20.52,0.52,0.832
4,Exp_20260317_143436,90,haptic,20.0,30.0,29.75,0.25,0.655
