UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
3,Exp_20260317_132650,1,haptic,20.0,30.0,28.33,1.67,1.021
3,Exp_20260317_132650,2,haptic,10.0,50.0,42.77,7.23,1.001
3,Exp_20260317_132650,3,haptic,30.0,20.0,19.79,0.21,0.621
3,Exp_20260317_132650,4,haptic,30.0,0.0,3.40,3.40,0.755
3,Exp_20260317_132650,5,haptic,40.0,20.0,19.15,0.85,0.600
3,Exp_20260317_132650,6,haptic,40.0,30.0,22.41,7.59,0.344
3,Exp_20260317_132650,7,haptic,10.0,30.0,31.62,1.62,0.892
3,Exp_20260317_132650,8,haptic,10.0,40.0,36.03,3.97,1.000
3,Exp_20260317_132650,9,haptic,20.0,0.0,0.72,0.72,0.777
3,Exp_20260317_132650,10,haptic,30.0,20.0,17.59,2.41,0.944
3,Exp_20260317_132650,11,haptic,40.0,0.0,2.95,2.95,0.919
3,Exp_20260317_132650,12,haptic,50.0,0.0,-0.65,0.65,1.154
3,Exp_20260317_132650,13,haptic,40.0,50.0,52.60,2.60,0.502
3,Exp_20260317_132650,14,haptic,0.0,10.0,13.12,3.12,0.576
3,Exp_20260317_132650,15,haptic,40.0,10.0,7.70,2.30,1.332
3,Exp_20260317_132650,16,haptic,30.0,10.0,10.91,0.91,0.454
3,Exp_20260317_132650,17,haptic,0.0,50.0,54.89,4.89,1.221
3,Exp_20260317_132650,18,haptic,30.0,40.0,41.12,1.12,0.499
3,Exp_20260317_132650,19,haptic,0.0,20.0,22.52,2.52,0.799
3,Exp_20260317_132650,20,haptic,20.0,40.0,36.68,3.32,0.900
3,Exp_20260317_132650,21,haptic,50.0,30.0,28.94,1.06,0.590
3,Exp_20260317_132650,22,haptic,20.0,30.0,30.98,0.98,0.722
3,Exp_20260317_132650,23,haptic,50.0,40.0,40.56,0.56,0.530
3,Exp_20260317_132650,24,haptic,30.0,0.0,-0.60,0.60,0.822
3,Exp_20260317_132650,25,haptic,30.0,40.0,38.93,1.07,0.523
3,Exp_20260317_132650,26,haptic,0.0,20.0,20.04,0.04,0.522
3,Exp_20260317_132650,27,haptic,0.0,50.0,55.64,5.64,1.355
3,Exp_20260317_132650,28,haptic,10.0,20.0,23.16,3.16,0.555
3,Exp_20260317_132650,29,haptic,10.0,0.0,-2.32,2.32,0.398
3,Exp_20260317_132650,30,haptic,20.0,50.0,56.41,6.41,1.131
3,Exp_20260317_132650,31,haptic,40.0,10.0,10.75,0.75,1.744
3,Exp_20260317_132650,32,haptic,20.0,10.0,10.10,0.10,0.877
3,Exp_20260317_132650,33,haptic,50.0,10.0,9.14,0.86,1.755
3,Exp_20260317_132650,34,haptic,50.0,10.0,13.10,3.10,1.177
3,Exp_20260317_132650,35,haptic,50.0,20.0,20.63,0.63,0.878
3,Exp_20260317_132650,36,haptic,10.0,40.0,41.87,1.87,1.354
3,Exp_20260317_132650,37,haptic,30.0,50.0,47.76,2.24,1.366
3,Exp_20260317_132650,38,haptic,20.0,30.0,28.84,1.16,1.177
3,Exp_20260317_132650,39,haptic,50.0,30.0,33.88,3.88,0.455
3,Exp_20260317_132650,40,haptic,20.0,40.0,40.37,0.37,1.229
3,Exp_20260317_132650,41,haptic,0.0,10.0,11.77,1.77,1.177
3,Exp_20260317_132650,42,haptic,10.0,30.0,33.00,3.00,1.310
3,Exp_20260317_132650,43,haptic,20.0,0.0,-1.06,1.06,0.622
3,Exp_20260317_132650,44,haptic,40.0,30.0,27.50,2.50,0.400
3,Exp_20260317_132650,45,haptic,0.0,30.0,31.03,1.03,1.389
3,Exp_20260317_132650,46,haptic,10.0,40.0,41.61,1.61,1.021
3,Exp_20260317_132650,47,haptic,20.0,40.0,42.42,2.42,0.855
3,Exp_20260317_132650,48,haptic,20.0,0.0,0.92,0.92,0.478
3,Exp_20260317_132650,49,haptic,20.0,10.0,6.28,3.72,0.378
3,Exp_20260317_132650,50,haptic,40.0,10.0,16.34,6.34,0.644
3,Exp_20260317_132650,51,haptic,30.0,10.0,9.07,0.93,0.900
3,Exp_20260317_132650,52,haptic,0.0,10.0,13.83,3.83,0.469
3,Exp_20260317_132650,53,haptic,10.0,0.0,0.52,0.52,0.677
3,Exp_20260317_132650,54,haptic,0.0,40.0,45.23,5.23,0.999
3,Exp_20260317_132650,55,haptic,50.0,20.0,24.49,4.49,0.722
3,Exp_20260317_132650,56,haptic,50.0,0.0,-5.30,5.30,0.923
3,Exp_20260317_132650,57,haptic,10.0,0.0,2.23,2.23,0.811
3,Exp_20260317_132650,58,haptic,40.0,30.0,30.41,0.41,1.455
3,Exp_20260317_132650,59,haptic,30.0,20.0,20.50,0.50,0.901
3,Exp_20260317_132650,60,haptic,0.0,30.0,30.30,0.30,1.676
3,Exp_20260317_132650,61,haptic,10.0,20.0,21.11,1.11,1.055
3,Exp_20260317_132650,62,haptic,40.0,0.0,0.16,0.16,0.878
3,Exp_20260317_132650,63,haptic,30.0,50.0,54.65,4.65,0.700
3,Exp_20260317_132650,64,haptic,0.0,30.0,28.10,1.90,0.977
3,Exp_20260317_132650,65,haptic,10.0,30.0,31.92,1.92,0.867
